      Step     Time          Energy         fmax
BFGS:    0 17:43:54        0.503465        0.8233
BFGS:    1 17:43:54        0.430792        0.7731
BFGS:    2 17:43:54        0.115572        0.3388
BFGS:    3 17:43:54        0.094465        0.2944
BFGS:    4 17:43:55        0.046611        0.0981
BFGS:    5 17:43:55        0.044221        0.0909
BFGS:    6 17:43:55        0.041487        0.0593
BFGS:    7 17:43:56        0.042957        0.0508
BFGS:    8 17:43:56        0.036343        0.0397
      Step     Time          Energy         fmax
BFGS:    0 20:12:45        0.362907        0.8995
BFGS:    1 20:12:46        0.298051        0.8370
BFGS:    2 20:12:46       -0.073482        0.3805
BFGS:    3 20:12:46       -0.100876        0.3266
BFGS:    4 20:12:47       -0.155643        0.2597
BFGS:    5 20:12:47       -0.172756        0.2356
BFGS:    6 20:12:47       -0.172644        0.2259
BFGS:    7 20:12:48       -0.189462        0.1860
BFGS:    8 20:12:48       -0.202811        0.1214
BFGS:    9 20:12:48       -0.204359        0.0952
BFGS:   10 20:12:48       -0.212169        0.0950
BFGS:   11 20:12:49       -0.209717        0.0808
BFGS:   12 20:12:49       -0.204216        0.0574
BFGS:   13 20:12:49       -0.208700        0.0315
      Step     Time          Energy         fmax
BFGS:    0 12:31:07     -624.965210        0.9891
BFGS:    1 12:31:08     -624.995911        0.9149
BFGS:    2 12:31:08     -625.270386        0.4561
BFGS:    3 12:31:08     -625.286377        0.3128
BFGS:    4 12:31:08     -625.319580        0.2632
BFGS:    5 12:31:08     -625.345398        0.2471
BFGS:    6 12:31:08     -625.355225        0.2522
BFGS:    7 12:31:08     -625.370178        0.2764
BFGS:    8 12:31:08     -625.373535        0.2803
BFGS:    9 12:31:08     -625.448425        0.4458
BFGS:   10 12:31:08     -625.530273        0.5211
BFGS:   11 12:31:08     -625.562439        0.5014
BFGS:   12 12:31:08     -625.608765        0.3813
BFGS:   13 12:31:08     -625.640137        0.3444
BFGS:   14 12:31:09     -625.586304        0.5507
BFGS:   15 12:31:09     -625.640015        0.2213
BFGS:   16 12:31:09     -625.641724        0.2669
BFGS:   17 12:31:09     -625.651245        0.3264
BFGS:   18 12:31:09     -625.660828        0.2353
BFGS:   19 12:31:09     -625.659302        0.0930
BFGS:   20 12:31:09     -625.656189        0.0903
      Step     Time          Energy         fmax
BFGS:    0 13:04:18        0.837776        2.1460
BFGS:    1 13:04:18        0.647315        1.9272
BFGS:    2 13:04:18        0.138076        2.4736
BFGS:    3 13:04:18        0.023825        0.6157
BFGS:    4 13:04:18       -0.014382        0.5085
BFGS:    5 13:04:18       -0.063897        0.7755
BFGS:    6 13:04:18       -0.093276        0.6617
BFGS:    7 13:04:19       -0.099742        0.2826
BFGS:    8 13:04:19       -0.099277        0.1982
BFGS:    9 13:04:19       -0.099093        0.2640
BFGS:   10 13:04:19       -0.102590        0.3011
BFGS:   11 13:04:19       -0.114874        0.2644
BFGS:   12 13:04:19       -0.122374        0.1328
BFGS:   13 13:04:19       -0.125357        0.0504
BFGS:   14 13:04:19       -0.124120        0.0470
