      Step     Time          Energy         fmax
BFGS:    0 17:44:01        0.934353        1.4316
BFGS:    1 17:44:01        0.834845        1.2582
BFGS:    2 17:44:01        0.644862        2.5698
BFGS:    3 17:44:02        0.509797        0.5032
BFGS:    4 17:44:02        0.479420        0.5151
BFGS:    5 17:44:02        0.395786        0.6520
BFGS:    6 17:44:02        0.378562        0.3484
BFGS:    7 17:44:03        0.358497        0.1445
BFGS:    8 17:44:03        0.356199        0.1805
BFGS:    9 17:44:03        0.346818        0.1710
BFGS:   10 17:44:03        0.347071        0.1056
BFGS:   11 17:44:04        0.344371        0.0509
BFGS:   12 17:44:04        0.340032        0.0794
BFGS:   13 17:44:04        0.337019        0.1038
BFGS:   14 17:44:05        0.342587        0.0688
BFGS:   15 17:44:05        0.336528        0.0356
      Step     Time          Energy         fmax
BFGS:    0 20:12:56        0.542373        0.9059
BFGS:    1 20:12:56        0.461811        0.8663
BFGS:    2 20:12:56        0.072868        0.4334
BFGS:    3 20:12:57        0.053065        0.4096
BFGS:    4 20:12:57       -0.050417        0.2462
BFGS:    5 20:12:57       -0.053575        0.2555
BFGS:    6 20:12:58       -0.073199        0.2197
BFGS:    7 20:12:58       -0.072514        0.1589
BFGS:    8 20:12:58       -0.075564        0.1410
BFGS:    9 20:12:58       -0.077142        0.1198
BFGS:   10 20:12:59       -0.081153        0.0555
BFGS:   11 20:12:59       -0.086566        0.0241
      Step     Time          Energy         fmax
BFGS:    0 12:31:10     -625.274170        1.0079
BFGS:    1 12:31:10     -625.309753        0.9376
BFGS:    2 12:31:10     -625.528687        0.6071
BFGS:    3 12:31:10     -625.590515        0.3822
BFGS:    4 12:31:10     -625.611694        0.3227
BFGS:    5 12:31:10     -625.632263        0.2376
BFGS:    6 12:31:10     -625.639648        0.2001
BFGS:    7 12:31:11     -625.640320        0.1529
BFGS:    8 12:31:11     -625.653137        0.1328
BFGS:    9 12:31:11     -625.678223        0.0869
BFGS:   10 12:31:11     -625.690186        0.0726
BFGS:   11 12:31:11     -625.698547        0.0627
BFGS:   12 12:31:11     -625.697083        0.0524
BFGS:   13 12:31:11     -625.707214        0.0387
      Step     Time          Energy         fmax
BFGS:    0 13:04:21        0.705455        1.0306
BFGS:    1 13:04:21        0.646838        1.0028
BFGS:    2 13:04:21        0.221771        0.7141
BFGS:    3 13:04:21        0.187393        0.5119
BFGS:    4 13:04:21        0.140662        0.1857
BFGS:    5 13:04:21        0.128952        0.1756
BFGS:    6 13:04:21        0.133016        0.1619
BFGS:    7 13:04:22        0.134669        0.1401
BFGS:    8 13:04:22        0.136414        0.1209
BFGS:    9 13:04:22        0.135495        0.0932
BFGS:   10 13:04:22        0.127020        0.0562
BFGS:   11 13:04:22        0.118300        0.0465
