      Step     Time          Energy         fmax
BFGS:    0 17:25:20       -0.385017        0.8491
BFGS:    1 17:25:20       -0.414018        0.7797
BFGS:    2 17:25:20       -0.471562        0.8406
BFGS:    3 17:25:20       -0.492368        0.4846
BFGS:    4 17:25:21       -0.501347        0.2989
BFGS:    5 17:25:21       -0.514923        0.1863
BFGS:    6 17:25:21       -0.518612        0.1628
BFGS:    7 17:25:21       -0.519560        0.1263
BFGS:    8 17:25:22       -0.519093        0.0720
BFGS:    9 17:25:22       -0.521290        0.0355
      Step     Time          Energy         fmax
BFGS:    0 19:57:29       -0.259312        0.9534
BFGS:    1 19:57:29       -0.300101        0.8720
BFGS:    2 19:57:30       -0.373575        1.1808
BFGS:    3 19:57:30       -0.397969        0.4320
BFGS:    4 19:57:30       -0.406469        0.3899
BFGS:    5 19:57:30       -0.413965        0.1318
BFGS:    6 19:57:31       -0.419569        0.1006
BFGS:    7 19:57:31       -0.418852        0.0824
BFGS:    8 19:57:31       -0.423485        0.0516
BFGS:    9 19:57:31       -0.424009        0.0195
      Step     Time          Energy         fmax
BFGS:    0 12:27:10     -398.803680        2.0595
BFGS:    1 12:27:10     -398.924042        1.8334
BFGS:    2 12:27:10     -398.985168        3.0690
BFGS:    3 12:27:10     -399.070404        0.7543
BFGS:    4 12:27:10     -399.093384        0.3440
BFGS:    5 12:27:10     -399.106842        0.6400
BFGS:    6 12:27:10     -399.147186        0.6630
BFGS:    7 12:27:11     -399.155426        0.3859
BFGS:    8 12:27:11     -399.082642        0.1831
BFGS:    9 12:27:11     -399.108276        0.1994
BFGS:   10 12:27:11     -399.186859        0.5295
BFGS:   11 12:27:11     -399.203491        0.3580
BFGS:   12 12:27:11     -399.236664        0.1262
BFGS:   13 12:27:11     -399.241974        0.0322
      Step     Time          Energy         fmax
BFGS:    0 12:58:23        0.387699        0.6159
BFGS:    1 12:58:23        0.333263        0.5601
BFGS:    2 12:58:23        0.255290        0.0734
BFGS:    3 12:58:23        0.253699        0.0478
