      Step     Time          Energy         fmax
BFGS:    0 17:30:12        3.465333       13.5765
BFGS:    1 17:30:12        5.043644       22.0147
BFGS:    2 17:30:13        3.232731        5.3072
BFGS:    3 17:30:13        2.621157        1.6555
BFGS:    4 17:30:13        2.461492        4.0543
BFGS:    5 17:30:13        2.219861        3.3666
BFGS:    6 17:30:13        1.276431        4.6906
BFGS:    7 17:30:13        0.913977        3.0648
BFGS:    8 17:30:14        0.784220        3.3583
BFGS:    9 17:30:14        0.622559        2.5911
BFGS:   10 17:30:14        0.501903        2.5901
BFGS:   11 17:30:14        0.290017        3.0944
BFGS:   12 17:30:14        0.137758        2.1050
BFGS:   13 17:30:15        0.008601        1.6984
BFGS:   14 17:30:15       -0.167852        2.2830
BFGS:   15 17:30:15       -0.217446        0.9664
BFGS:   16 17:30:15       -0.240656        0.8974
BFGS:   17 17:30:15       -0.306634        1.1242
BFGS:   18 17:30:16       -0.349317        1.0567
BFGS:   19 17:30:16       -0.374365        0.6898
BFGS:   20 17:30:16       -0.410751        0.5175
BFGS:   21 17:30:16       -0.440176        0.6288
BFGS:   22 17:30:16       -0.459027        0.6746
BFGS:   23 17:30:17       -0.530694        0.9625
BFGS:   24 17:30:17       -0.541266        0.7903
BFGS:   25 17:30:17       -0.579529        0.5830
BFGS:   26 17:30:17       -0.611833        0.4757
BFGS:   27 17:30:17       -0.641111        0.6312
BFGS:   28 17:30:18       -0.695352        0.9317
BFGS:   29 17:30:18       -0.710347        0.8814
BFGS:   30 17:30:18       -0.768906        0.6134
BFGS:   31 17:30:18       -0.827988        0.8595
BFGS:   32 17:30:18       -0.880837        0.7504
BFGS:   33 17:30:18       -0.910207        0.9647
BFGS:   34 17:30:19       -0.973651        0.6126
BFGS:   35 17:30:19       -1.032047        0.6243
BFGS:   36 17:30:19       -1.178241        0.8116
BFGS:   37 17:30:19       -1.206362        1.1058
BFGS:   38 17:30:19       -1.320145        0.9122
BFGS:   39 17:30:20       -1.432851        0.8660
BFGS:   40 17:30:20       -1.498383        1.0101
BFGS:   41 17:30:20       -1.548931        1.7277
BFGS:   42 17:30:20       -1.570601        0.6939
BFGS:   43 17:30:20       -1.601861        0.6449
BFGS:   44 17:30:21       -1.643849        0.4726
BFGS:   45 17:30:21       -1.691248        0.4068
BFGS:   46 17:30:21       -1.699150        0.4671
BFGS:   47 17:30:21       -1.727289        0.4525
BFGS:   48 17:30:21       -1.745047        0.4344
BFGS:   49 17:30:22       -1.757749        0.4267
BFGS:   50 17:30:22       -1.770512        0.4502
BFGS:   51 17:30:22       -1.782410        0.4824
BFGS:   52 17:30:22       -1.793652        0.5397
BFGS:   53 17:30:22       -1.798812        0.6106
BFGS:   54 17:30:23       -1.804731        0.5693
BFGS:   55 17:30:23       -1.820914        0.5145
BFGS:   56 17:30:23       -1.827907        0.4797
BFGS:   57 17:30:23       -1.828489        0.4328
BFGS:   58 17:30:23       -1.838142        0.3845
BFGS:   59 17:30:23       -1.842394        0.3148
BFGS:   60 17:30:24       -1.855623        0.3044
BFGS:   61 17:30:24       -1.861078        0.2621
BFGS:   62 17:30:24       -1.871094        0.2538
BFGS:   63 17:30:24       -1.854940        0.2421
BFGS:   64 17:30:24       -1.873217        0.2123
BFGS:   65 17:30:25       -1.889270        0.1735
BFGS:   66 17:30:25       -1.872357        0.1727
BFGS:   67 17:30:25       -1.871047        0.1215
BFGS:   68 17:30:25       -1.882133        0.1318
BFGS:   69 17:30:25       -1.891671        0.1134
BFGS:   70 17:30:26       -1.855638        0.3099
BFGS:   71 17:30:26       -1.888537        0.0669
BFGS:   72 17:30:26       -1.891678        0.0690
BFGS:   73 17:30:26       -1.890168        0.0419
      Step     Time          Energy         fmax
BFGS:    0 20:01:11        3.551397       14.3168
BFGS:    1 20:01:11        4.308184       16.7769
BFGS:    2 20:01:11        2.802362        5.3900
BFGS:    3 20:01:12        2.034353        3.4924
BFGS:    4 20:01:12        1.550906       10.4181
BFGS:    5 20:01:12        0.855503        4.8691
BFGS:    6 20:01:12        0.666687        2.7483
BFGS:    7 20:01:12        0.361441        2.3876
BFGS:    8 20:01:13        0.141739        3.0381
BFGS:    9 20:01:13        0.025174        2.4747
BFGS:   10 20:01:13       -0.144570        2.1443
BFGS:   11 20:01:13       -0.156609        1.3700
BFGS:   12 20:01:13       -0.211833        0.5816
BFGS:   13 20:01:14       -0.238650        0.5328
BFGS:   14 20:01:14       -0.260390        0.6251
BFGS:   15 20:01:14       -0.282847        0.5143
BFGS:   16 20:01:14       -0.314532        0.5996
BFGS:   17 20:01:14       -0.328473        0.7139
BFGS:   18 20:01:15       -0.406836        1.1915
BFGS:   19 20:01:15       -0.498537        1.4416
BFGS:   20 20:01:15       -0.656683        1.8518
BFGS:   21 20:01:15       -0.810256        2.2336
BFGS:   22 20:01:15       -0.959308        2.3091
BFGS:   23 20:01:15       -0.865432        2.7888
BFGS:   24 20:01:16       -1.234170        1.5298
BFGS:   25 20:01:16       -1.334328        1.1629
BFGS:   26 20:01:16       -1.423041        0.9546
BFGS:   27 20:01:16       -1.460060        0.9250
BFGS:   28 20:01:16       -1.490650        0.4730
BFGS:   29 20:01:17       -1.515635        0.4394
BFGS:   30 20:01:17       -1.585403        0.5225
BFGS:   31 20:01:17       -1.609590        0.3355
BFGS:   32 20:01:17       -1.629125        0.3625
BFGS:   33 20:01:17       -1.642390        0.3349
BFGS:   34 20:01:18       -1.681824        0.3225
BFGS:   35 20:01:18       -1.698589        0.3214
BFGS:   36 20:01:18       -1.706229        0.2858
BFGS:   37 20:01:18       -1.697792        0.2330
BFGS:   38 20:01:18       -1.694712        0.2097
BFGS:   39 20:01:19       -1.702815        0.1878
BFGS:   40 20:01:19       -1.712401        0.2306
BFGS:   41 20:01:19       -1.740813        0.2589
BFGS:   42 20:01:19       -1.750867        0.2160
BFGS:   43 20:01:19       -1.754590        0.2249
BFGS:   44 20:01:19       -1.748729        0.4314
BFGS:   45 20:01:20       -1.760128        0.4827
BFGS:   46 20:01:20       -1.767438        0.4693
BFGS:   47 20:01:20       -1.771389        0.5230
BFGS:   48 20:01:20       -1.785903        0.4167
BFGS:   49 20:01:20       -1.831820        0.6023
BFGS:   50 20:01:21       -1.822107        0.5572
      Step     Time          Energy         fmax
BFGS:    0 12:28:11     -451.884979       14.3631
BFGS:    1 12:28:11     -450.474915       22.3427
BFGS:    2 12:28:11     -452.237335        5.1936
BFGS:    3 12:28:11     -452.837921        1.7841
BFGS:    4 12:28:11     -453.081970        5.6051
BFGS:    5 12:28:11     -453.387268        3.9599
BFGS:    6 12:28:11     -454.268188        1.8271
BFGS:    7 12:28:11     -454.375610        2.2631
