      Step     Time          Energy         fmax
BFGS:    0 17:17:24        0.388444        0.5435
BFGS:    1 17:17:24        0.373792        0.5155
BFGS:    2 17:17:24        0.257134        0.2531
BFGS:    3 17:17:24        0.252816        0.2582
BFGS:    4 17:17:24        0.224360        0.2135
BFGS:    5 17:17:25        0.212872        0.2483
BFGS:    6 17:17:25        0.207096        0.2047
BFGS:    7 17:17:25        0.205390        0.1851
BFGS:    8 17:17:25        0.200996        0.0969
BFGS:    9 17:17:25        0.193253        0.0587
BFGS:   10 17:17:26        0.189167        0.0664
BFGS:   11 17:17:26        0.188318        0.0676
BFGS:   12 17:17:26        0.187185        0.0549
BFGS:   13 17:17:26        0.185141        0.0412
      Step     Time          Energy         fmax
BFGS:    0 19:51:13        1.056302        1.1683
BFGS:    1 19:51:13        1.024118        1.0559
BFGS:    2 19:51:13        0.989765        1.7752
BFGS:    3 19:51:13        0.902105        0.2883
BFGS:    4 19:51:14        0.892737        0.2698
BFGS:    5 19:51:14        0.875921        0.4323
BFGS:    6 19:51:14        0.868435        0.5790
BFGS:    7 19:51:14        0.843116        0.5188
BFGS:    8 19:51:14        0.826258        0.2448
BFGS:    9 19:51:14        0.818265        0.0689
BFGS:   10 19:51:15        0.814330        0.1178
BFGS:   11 19:51:15        0.813080        0.1292
BFGS:   12 19:51:15        0.812819        0.0983
BFGS:   13 19:51:15        0.813596        0.0524
BFGS:   14 19:51:15        0.812254        0.0651
BFGS:   15 19:51:16        0.812804        0.0418
      Step     Time          Energy         fmax
BFGS:    0 12:25:12     -108.794975        1.4219
BFGS:    1 12:25:12     -108.865486        1.2768
BFGS:    2 12:25:12     -108.847549        1.7554
BFGS:    3 12:25:12     -108.973358        0.3909
BFGS:    4 12:25:12     -108.971642        0.2635
BFGS:    5 12:25:12     -108.959106        0.5375
BFGS:    6 12:25:12     -108.970261        0.6743
BFGS:    7 12:25:12     -109.055420        0.6421
BFGS:    8 12:25:12     -109.072891        0.3343
BFGS:    9 12:25:12     -109.093872        0.1228
BFGS:   10 12:25:12     -109.108406        0.2156
BFGS:   11 12:25:13     -109.122032        0.2371
BFGS:   12 12:25:13     -109.116074        0.1979
BFGS:   13 12:25:13     -109.112946        0.0933
BFGS:   14 12:25:13     -109.110306        0.0880
BFGS:   15 12:25:13     -109.113853        0.1682
BFGS:   16 12:25:13     -109.123009        0.1840
BFGS:   17 12:25:13     -109.130455        0.1048
BFGS:   18 12:25:13     -109.131927        0.0394
      Step     Time          Energy         fmax
BFGS:    0 12:54:58        0.409916        0.5268
BFGS:    1 12:54:58        0.389479        0.4997
BFGS:    2 12:54:58        0.278672        0.2504
BFGS:    3 12:54:58        0.269096        0.2573
BFGS:    4 12:54:59        0.221978        0.2479
BFGS:    5 12:54:59        0.216554        0.2359
BFGS:    6 12:54:59        0.215102        0.2006
BFGS:    7 12:54:59        0.213202        0.1685
BFGS:    8 12:54:59        0.208518        0.0773
BFGS:    9 12:54:59        0.209596        0.0654
BFGS:   10 12:54:59        0.211060        0.0676
BFGS:   11 12:54:59        0.211207        0.0616
BFGS:   12 12:54:59        0.210229        0.0457
