      Step     Time          Energy         fmax
BFGS:    0 17:17:26        0.370121        0.5107
BFGS:    1 17:17:26        0.354984        0.4938
BFGS:    2 17:17:27        0.228854        0.1978
BFGS:    3 17:17:27        0.219397        0.1725
BFGS:    4 17:17:27        0.190019        0.1611
BFGS:    5 17:17:27        0.187191        0.1899
BFGS:    6 17:17:27        0.185803        0.1805
BFGS:    7 17:17:28        0.183543        0.1141
BFGS:    8 17:17:28        0.177485        0.0396
      Step     Time          Energy         fmax
BFGS:    0 19:51:16        0.761933        1.4311
BFGS:    1 19:51:16        0.728444        1.2957
BFGS:    2 19:51:16        0.690929        2.2535
BFGS:    3 19:51:16        0.598139        0.4913
BFGS:    4 19:51:17        0.578589        0.2582
BFGS:    5 19:51:17        0.561945        0.5530
BFGS:    6 19:51:17        0.554701        0.6562
BFGS:    7 19:51:17        0.520185        0.6300
BFGS:    8 19:51:17        0.505372        0.3447
BFGS:    9 19:51:18        0.496530        0.1657
BFGS:   10 19:51:18        0.489515        0.2468
BFGS:   11 19:51:18        0.482748        0.2798
BFGS:   12 19:51:18        0.476460        0.2299
BFGS:   13 19:51:18        0.474544        0.0944
BFGS:   14 19:51:18        0.473983        0.0992
BFGS:   15 19:51:19        0.467103        0.1694
BFGS:   16 19:51:19        0.465105        0.1801
BFGS:   17 19:51:19        0.469338        0.0996
BFGS:   18 19:51:19        0.474956        0.0159
      Step     Time          Energy         fmax
BFGS:    0 12:25:13     -108.978539        0.3836
BFGS:    1 12:25:13     -109.018219        0.3639
BFGS:    2 12:25:13     -109.090607        0.3065
BFGS:    3 12:25:13     -109.114052        0.3022
BFGS:    4 12:25:13     -109.161880        0.1311
BFGS:    5 12:25:13     -109.188438        0.0794
BFGS:    6 12:25:13     -109.201309        0.0612
BFGS:    7 12:25:14     -109.196526        0.0582
BFGS:    8 12:25:14     -109.198776        0.0367
      Step     Time          Energy         fmax
BFGS:    0 12:54:59        0.607868        0.3626
BFGS:    1 12:54:59        0.586525        0.3471
BFGS:    2 12:55:00        0.474952        0.1873
BFGS:    3 12:55:00        0.469782        0.1745
BFGS:    4 12:55:00        0.431998        0.1358
BFGS:    5 12:55:00        0.432438        0.1147
BFGS:    6 12:55:00        0.433413        0.0619
BFGS:    7 12:55:00        0.436082        0.0474
