      Step     Time          Energy         fmax
BFGS:    0 17:17:31        0.523919        0.4969
BFGS:    1 17:17:31        0.496799        0.4170
BFGS:    2 17:17:31        0.409043        0.2773
BFGS:    3 17:17:31        0.402503        0.2716
BFGS:    4 17:17:32        0.343593        0.2660
BFGS:    5 17:17:32        0.328855        0.1362
BFGS:    6 17:17:32        0.319545        0.0743
BFGS:    7 17:17:32        0.322787        0.0723
BFGS:    8 17:17:32        0.317036        0.0560
BFGS:    9 17:17:33        0.321535        0.0400
      Step     Time          Energy         fmax
BFGS:    0 19:51:24        0.521591        0.4968
BFGS:    1 19:51:24        0.497565        0.4148
BFGS:    2 19:51:24        0.410346        0.2772
BFGS:    3 19:51:24        0.401430        0.2710
BFGS:    4 19:51:24        0.340569        0.2573
BFGS:    5 19:51:25        0.330116        0.1298
BFGS:    6 19:51:25        0.322308        0.0733
BFGS:    7 19:51:25        0.320547        0.0718
BFGS:    8 19:51:25        0.320804        0.0603
BFGS:    9 19:51:25        0.319478        0.0442
      Step     Time          Energy         fmax
BFGS:    0 12:25:15     -108.967171        0.3781
BFGS:    1 12:25:15     -109.009109        0.3598
BFGS:    2 12:25:15     -109.125946        0.2182
BFGS:    3 12:25:15     -109.157333        0.1799
BFGS:    4 12:25:15     -109.192780        0.2006
BFGS:    5 12:25:16     -109.197647        0.1650
BFGS:    6 12:25:16     -109.213501        0.1206
BFGS:    7 12:25:16     -109.207596        0.0919
BFGS:    8 12:25:16     -109.209946        0.0796
BFGS:    9 12:25:16     -109.217674        0.0594
BFGS:   10 12:25:16     -109.218216        0.0517
BFGS:   11 12:25:16     -109.209953        0.0530
BFGS:   12 12:25:16     -109.205124        0.0685
BFGS:   13 12:25:16     -109.213188        0.0731
BFGS:   14 12:25:16     -109.242149        0.0760
BFGS:   15 12:25:16     -109.250099        0.0763
BFGS:   16 12:25:16     -109.215897        0.1012
BFGS:   17 12:25:16     -109.207077        0.1029
BFGS:   18 12:25:16     -109.196167        0.1164
BFGS:   19 12:25:16     -109.200386        0.1555
BFGS:   20 12:25:17     -109.195320        0.2462
      Step     Time          Energy         fmax
BFGS:    0 12:55:03        0.599122        0.3590
BFGS:    1 12:55:03        0.574214        0.3485
BFGS:    2 12:55:03        0.472523        0.3257
BFGS:    3 12:55:03        0.470707        0.2785
BFGS:    4 12:55:03        0.433616        0.0998
BFGS:    5 12:55:03        0.433265        0.0867
BFGS:    6 12:55:03        0.427844        0.0242
