      Step     Time          Energy         fmax
BFGS:    0 17:52:35       -0.118227        0.6285
BFGS:    1 17:52:35       -0.151913        0.5428
BFGS:    2 17:52:35       -0.347795        0.4585
BFGS:    3 17:52:36       -0.357982        0.4364
BFGS:    4 17:52:36       -0.425644        0.2163
BFGS:    5 17:52:36       -0.430383        0.2214
BFGS:    6 17:52:36       -0.436229        0.2154
BFGS:    7 17:52:36       -0.453910        0.2093
BFGS:    8 17:52:37       -0.464478        0.2074
BFGS:    9 17:52:37       -0.487312        0.1918
BFGS:   10 17:52:37       -0.498135        0.1829
BFGS:   11 17:52:37       -0.497936        0.2495
BFGS:   12 17:52:37       -0.508489        0.2467
BFGS:   13 17:52:38       -0.533133        0.2409
BFGS:   14 17:52:38       -0.545040        0.2445
BFGS:   15 17:52:38       -0.581686        0.2781
BFGS:   16 17:52:38       -0.603495        0.2372
BFGS:   17 17:52:38       -0.630566        0.2725
BFGS:   18 17:52:38       -0.653482        0.3755
BFGS:   19 17:52:39       -0.664192        0.4782
BFGS:   20 17:52:39       -0.682555        0.5016
BFGS:   21 17:52:39       -0.699501        0.7749
BFGS:   22 17:52:39       -0.732354        0.7564
BFGS:   23 17:52:39       -0.817358        0.5848
BFGS:   24 17:52:40       -0.826488        0.5877
BFGS:   25 17:52:40       -0.876083        0.3740
BFGS:   26 17:52:40       -0.900331        0.3272
BFGS:   27 17:52:40       -0.949049        0.2922
BFGS:   28 17:52:40       -0.973072        0.2315
BFGS:   29 17:52:41       -0.993800        0.2470
BFGS:   30 17:52:41       -1.009575        0.2129
BFGS:   31 17:52:41       -1.011466        0.1544
BFGS:   32 17:52:41       -1.016590        0.1393
BFGS:   33 17:52:41       -1.034458        0.0967
BFGS:   34 17:52:41       -1.038712        0.0882
BFGS:   35 17:52:42       -1.046168        0.0859
BFGS:   36 17:52:42       -1.047125        0.0718
BFGS:   37 17:52:42       -1.044326        0.0773
BFGS:   38 17:52:42       -1.050320        0.0581
BFGS:   39 17:52:42       -1.050594        0.0554
BFGS:   40 17:52:43       -1.057441        0.0654
BFGS:   41 17:52:43       -1.059695        0.0679
BFGS:   42 17:52:43       -1.057523        0.0461
      Step     Time          Energy         fmax
BFGS:    0 20:20:13       -0.890721        0.4473
BFGS:    1 20:20:13       -0.910795        0.4258
BFGS:    2 20:20:14       -1.000109        0.1874
BFGS:    3 20:20:14       -1.002133        0.1722
BFGS:    4 20:20:14       -1.019320        0.0980
BFGS:    5 20:20:14       -1.023691        0.0769
BFGS:    6 20:20:14       -1.028202        0.0705
BFGS:    7 20:20:15       -1.029698        0.0653
BFGS:    8 20:20:15       -1.031659        0.0639
BFGS:    9 20:20:15       -1.029126        0.0648
BFGS:   10 20:20:15       -1.039786        0.0632
BFGS:   11 20:20:15       -1.040325        0.0595
BFGS:   12 20:20:16       -1.032307        0.0479
      Step     Time          Energy         fmax
BFGS:    0 12:33:07     -361.913574        0.6180
BFGS:    1 12:33:07     -362.034302        0.5690
BFGS:    2 12:33:08     -362.071747        0.4260
BFGS:    3 12:33:08     -362.049652        0.3720
BFGS:    4 12:33:08     -362.019135        0.3506
BFGS:    5 12:33:08     -362.026642        0.2406
BFGS:    6 12:33:08     -362.009705        0.1563
BFGS:    7 12:33:08     -362.009399        0.1557
BFGS:    8 12:33:08     -362.012787        0.1570
BFGS:    9 12:33:08     -362.014587        0.1593
BFGS:   10 12:33:08     -362.036621        0.1615
BFGS:   11 12:33:08     -362.024414        0.1772
BFGS:   12 12:33:08     -362.036285        0.1522
BFGS:   13 12:33:08     -362.046356        0.1971
BFGS:   14 12:33:08     -362.058838        0.2046
BFGS:   15 12:33:08     -362.067169        0.2129
BFGS:   16 12:33:08     -362.114105        0.1521
BFGS:   17 12:33:09     -362.115601        0.1904
BFGS:   18 12:33:09     -362.132782        0.1917
BFGS:   19 12:33:09     -362.157227        0.2375
BFGS:   20 12:33:09     -362.187042        0.2642
      Step     Time          Energy         fmax
BFGS:    0 13:07:09       -0.459048        0.7556
BFGS:    1 13:07:09       -0.495365        0.6996
BFGS:    2 13:07:09       -0.678478        0.3710
BFGS:    3 13:07:09       -0.682139        0.2387
BFGS:    4 13:07:09       -0.688490        0.2290
BFGS:    5 13:07:09       -0.705915        0.3031
BFGS:    6 13:07:09       -0.717483        0.3239
BFGS:    7 13:07:09       -0.729107        0.2890
BFGS:    8 13:07:09       -0.739348        0.2551
BFGS:    9 13:07:09       -0.747717        0.2479
BFGS:   10 13:07:09       -0.772253        0.3167
BFGS:   11 13:07:10       -0.814319        0.5007
BFGS:   12 13:07:10       -0.863510        0.6008
BFGS:   13 13:07:10       -0.903056        0.6297
BFGS:   14 13:07:10       -0.967833        0.4927
BFGS:   15 13:07:10       -1.001335        0.3597
BFGS:   16 13:07:10       -1.032864        0.2701
BFGS:   17 13:07:10       -1.052549        0.2113
BFGS:   18 13:07:10       -1.065229        0.1320
BFGS:   19 13:07:10       -1.070816        0.0804
BFGS:   20 13:07:10       -1.070759        0.0731
