      Step     Time          Energy         fmax
BFGS:    0 17:34:02        5.440581       14.4321
BFGS:    1 17:34:02        6.475356       20.8336
BFGS:    2 17:34:02        4.685780        5.1907
BFGS:    3 17:34:03        3.980326        2.9014
BFGS:    4 17:34:03        4.114826       16.3038
BFGS:    5 17:34:03        3.013378        4.0976
BFGS:    6 17:34:03        2.200596        4.1633
BFGS:    7 17:34:04        1.065784        3.6183
BFGS:    8 17:34:04        0.604724        3.4471
BFGS:    9 17:34:04        0.359746        2.4452
BFGS:   10 17:34:05        0.122301        3.6468
BFGS:   11 17:34:05       -0.052220        1.6787
BFGS:   12 17:34:05       -0.128794        1.3887
BFGS:   13 17:34:05       -0.296632        1.2804
BFGS:   14 17:34:06       -0.350935        1.0084
BFGS:   15 17:34:06       -0.472308        0.6290
BFGS:   16 17:34:06       -0.538644        1.3680
BFGS:   17 17:34:06       -0.609292        1.0992
BFGS:   18 17:34:07       -0.677488        0.7347
BFGS:   19 17:34:07       -0.701757        0.7142
BFGS:   20 17:34:07       -0.699049        0.4753
BFGS:   21 17:34:08       -0.767985        0.6548
BFGS:   22 17:34:08       -0.807888        0.7739
BFGS:   23 17:34:08       -0.807431        0.6361
BFGS:   24 17:34:08       -0.882928        0.4558
BFGS:   25 17:34:09       -0.888590        0.3424
BFGS:   26 17:34:09       -0.913682        0.4052
BFGS:   27 17:34:09       -0.940967        0.5027
BFGS:   28 17:34:10       -0.960351        0.4369
BFGS:   29 17:34:10       -0.996559        0.2012
BFGS:   30 17:34:10       -0.993901        0.1295
BFGS:   31 17:34:10       -0.989514        0.1965
BFGS:   32 17:34:11       -1.012154        0.1892
BFGS:   33 17:34:11       -1.022781        0.1608
BFGS:   34 17:34:11       -1.030128        0.1143
BFGS:   35 17:34:11       -1.038784        0.1047
BFGS:   36 17:34:12       -1.043286        0.1225
BFGS:   37 17:34:12       -1.049242        0.0671
BFGS:   38 17:34:12       -1.043735        0.0487
      Step     Time          Energy         fmax
BFGS:    0 20:04:04        5.075623       15.9419
BFGS:    1 20:04:04        6.004741       21.3570
BFGS:    2 20:04:04        4.207602        4.2451
BFGS:    3 20:04:05        3.572998        2.8676
BFGS:    4 20:04:05        3.874138       22.2703
BFGS:    5 20:04:05        2.368416        3.2833
BFGS:    6 20:04:05        1.876698        3.4885
BFGS:    7 20:04:06        1.339475        6.3545
BFGS:    8 20:04:06        0.827283        2.4379
BFGS:    9 20:04:06        0.504582        1.2929
BFGS:   10 20:04:07        0.412700        1.2996
BFGS:   11 20:04:07        0.182992        1.0209
BFGS:   12 20:04:07        0.125709        1.0867
BFGS:   13 20:04:07        0.083879        0.9266
BFGS:   14 20:04:08        0.011145        0.6862
BFGS:   15 20:04:08       -0.024509        0.7356
BFGS:   16 20:04:08       -0.063493        0.4386
BFGS:   17 20:04:08       -0.098636        0.3593
BFGS:   18 20:04:09       -0.124729        0.4053
BFGS:   19 20:04:09       -0.120807        0.5175
BFGS:   20 20:04:09       -0.139081        0.7096
BFGS:   21 20:04:10       -0.163595        0.6448
BFGS:   22 20:04:10       -0.194428        0.5898
BFGS:   23 20:04:10       -0.210527        0.4737
BFGS:   24 20:04:10       -0.270845        0.5402
BFGS:   25 20:04:11       -0.308203        0.4811
BFGS:   26 20:04:11       -0.330341        0.3210
BFGS:   27 20:04:11       -0.366355        0.5073
BFGS:   28 20:04:11       -0.389557        0.3998
BFGS:   29 20:04:12       -0.408225        0.2129
BFGS:   30 20:04:12       -0.410798        0.2007
BFGS:   31 20:04:12       -0.419268        0.3317
BFGS:   32 20:04:13       -0.439457        0.3768
BFGS:   33 20:04:13       -0.468192        0.2938
BFGS:   34 20:04:13       -0.486881        0.2267
BFGS:   35 20:04:13       -0.508138        0.2140
BFGS:   36 20:04:14       -0.518423        0.2528
BFGS:   37 20:04:14       -0.541852        0.2126
BFGS:   38 20:04:14       -0.531862        0.1498
BFGS:   39 20:04:15       -0.555097        0.1185
BFGS:   40 20:04:15       -0.559594        0.1158
BFGS:   41 20:04:15       -0.577039        0.1340
BFGS:   42 20:04:15       -0.571819        0.1142
BFGS:   43 20:04:16       -0.582770        0.1512
BFGS:   44 20:04:16       -0.581006        0.1380
BFGS:   45 20:04:16       -0.583451        0.1857
BFGS:   46 20:04:16       -0.578738        0.1335
BFGS:   47 20:04:17       -0.588832        0.0999
BFGS:   48 20:04:17       -0.585746        0.2507
BFGS:   49 20:04:17       -0.599443        0.1511
BFGS:   50 20:04:18       -0.599086        0.0882
      Step     Time          Energy         fmax
BFGS:    0 12:28:56     -736.936890       13.6514
BFGS:    1 12:28:56     -736.178101       17.7999
BFGS:    2 12:28:57     -737.586609        5.6846
BFGS:    3 12:28:57     -738.371887        1.8814
BFGS:    4 12:28:57     -738.836914        6.1470
BFGS:    5 12:28:57     -739.931763        7.1072
BFGS:    6 12:28:57     -740.065979        4.2950
