      Step     Time          Energy         fmax
BFGS:    0 16:57:54       -0.163957        2.0196
BFGS:    1 16:57:54       -0.120314        1.7892
BFGS:    2 16:57:54        0.442843        4.5477
BFGS:    3 16:57:54       -0.079567        0.9489
BFGS:    4 16:57:55        0.028763        0.4363
BFGS:    5 16:57:55        0.093990        0.4908
BFGS:    6 16:57:55        0.087886        0.4529
BFGS:    7 16:57:55        0.068398        0.1086
BFGS:    8 16:57:56        0.063799        0.0914
BFGS:    9 16:57:56        0.063342        0.1069
BFGS:   10 16:57:56        0.061929        0.1043
BFGS:   11 16:57:57        0.061927        0.0440
      Step     Time          Energy         fmax
BFGS:    0 17:04:54       -0.292763        0.3529
BFGS:    1 17:04:54       -0.315328        0.3331
BFGS:    2 17:04:54       -0.402317        0.2572
BFGS:    3 17:04:54       -0.405070        0.2243
BFGS:    4 17:04:55       -0.404039        0.0249
      Step     Time          Energy         fmax
BFGS:    0 19:09:21       -0.142959        0.6506
BFGS:    1 19:09:42       -0.149327        0.6134
BFGS:    2 19:10:05       -0.241403        0.2782
BFGS:    3 19:10:26       -0.248082        0.2411
BFGS:    4 19:10:46       -0.280142        0.1361
BFGS:    5 19:11:08       -0.283154        0.1368
BFGS:    6 19:11:29       -0.284927        0.1139
BFGS:    7 19:11:50       -0.284829        0.0944
BFGS:    8 19:12:11       -0.276569        0.0818
BFGS:    9 19:12:33       -0.276423        0.0795
BFGS:   10 19:12:54       -0.277317        0.0873
BFGS:   11 19:13:15       -0.280825        0.0632
BFGS:   12 19:13:36       -0.285466        0.0479
      Step     Time          Energy         fmax
BFGS:    0 19:42:31       -0.112776        0.7105
BFGS:    1 19:42:32       -0.117071        0.6781
BFGS:    2 19:42:32       -0.234450        0.6371
BFGS:    3 19:42:32       -0.245559        0.3762
BFGS:    4 19:42:32       -0.255078        0.2268
BFGS:    5 19:42:33       -0.279213        0.2324
BFGS:    6 19:42:33       -0.281415        0.2034
BFGS:    7 19:42:33       -0.285999        0.1662
BFGS:    8 19:42:33       -0.286747        0.1345
BFGS:    9 19:42:34       -0.284017        0.1234
BFGS:   10 19:42:34       -0.286284        0.1265
BFGS:   11 19:42:34       -0.286460        0.1160
BFGS:   12 19:42:35       -0.285527        0.1244
BFGS:   13 19:42:35       -0.288218        0.1107
BFGS:   14 19:42:35       -0.293625        0.0916
BFGS:   15 19:42:35       -0.295921        0.0886
BFGS:   16 19:42:36       -0.299266        0.0770
BFGS:   17 19:42:36       -0.298371        0.0961
BFGS:   18 19:42:36       -0.302586        0.1200
BFGS:   19 19:42:36       -0.309001        0.1456
BFGS:   20 19:42:37       -0.323779        0.3125
      Step     Time          Energy         fmax
BFGS:    0 12:22:33     -378.248138        0.6476
BFGS:    1 12:22:33     -378.249054        0.6214
BFGS:    2 12:22:33     -378.322388        0.3363
BFGS:    3 12:22:33     -378.334381        0.2642
BFGS:    4 12:22:33     -378.363831        0.1791
BFGS:    5 12:22:33     -378.350159        0.1654
BFGS:    6 12:22:33     -378.347229        0.1352
BFGS:    7 12:22:34     -378.355194        0.0992
BFGS:    8 12:22:34     -378.357086        0.0786
BFGS:    9 12:22:34     -378.357361        0.0743
BFGS:   10 12:22:34     -378.355682        0.0729
BFGS:   11 12:22:34     -378.358887        0.0656
BFGS:   12 12:22:34     -378.357269        0.0603
BFGS:   13 12:22:34     -378.364044        0.0524
BFGS:   14 12:22:34     -378.363464        0.0435
      Step     Time          Energy         fmax
BFGS:    0 12:51:04       -0.107025        0.6822
BFGS:    1 12:51:04       -0.119589        0.6496
BFGS:    2 12:51:04       -0.259064        0.5205
BFGS:    3 12:51:04       -0.262437        0.3700
BFGS:    4 12:51:04       -0.280152        0.2157
BFGS:    5 12:51:04       -0.298240        0.2087
BFGS:    6 12:51:04       -0.301703        0.1743
BFGS:    7 12:51:04       -0.302937        0.1595
BFGS:    8 12:51:04       -0.304244        0.1189
BFGS:    9 12:51:05       -0.303431        0.1100
BFGS:   10 12:51:05       -0.303980        0.1095
BFGS:   11 12:51:05       -0.306613        0.1026
BFGS:   12 12:51:05       -0.309644        0.1084
BFGS:   13 12:51:05       -0.312363        0.0908
BFGS:   14 12:51:05       -0.316882        0.0807
BFGS:   15 12:51:05       -0.321470        0.0641
BFGS:   16 12:51:05       -0.324992        0.0551
BFGS:   17 12:51:05       -0.327714        0.0684
BFGS:   18 12:51:06       -0.327136        0.0699
BFGS:   19 12:51:06       -0.331003        0.0677
BFGS:   20 12:51:06       -0.336187        0.0749
