      Step     Time          Energy         fmax
BFGS:    0 17:14:25        4.876847       12.8393
BFGS:    1 17:14:25        5.798258       16.1675
BFGS:    2 17:14:26        4.397717        5.3785
BFGS:    3 17:14:26        3.813882        0.9251
BFGS:    4 17:14:26        3.667671        2.6463
BFGS:    5 17:14:27        3.074722        4.0594
BFGS:    6 17:14:27        2.904629        1.6136
BFGS:    7 17:14:27        2.842161        1.3171
BFGS:    8 17:14:27        2.494177        4.7106
BFGS:    9 17:14:28        2.550403        6.0998
BFGS:   10 17:14:28        2.261453        4.3353
BFGS:   11 17:14:28        2.099113        2.9055
BFGS:   12 17:14:28        1.866938        2.5206
BFGS:   13 17:14:29        1.777037        1.0630
BFGS:   14 17:14:29        1.723298        1.0417
BFGS:   15 17:14:29        1.478920        4.0644
BFGS:   16 17:14:30        1.388419        6.8218
BFGS:   17 17:14:30        1.076643        2.2669
BFGS:   18 17:14:30        0.923673        3.7575
BFGS:   19 17:14:30        0.701388        2.4931
BFGS:   20 17:14:31        0.192100        1.3670
BFGS:   21 17:14:31       -0.019607        1.8828
BFGS:   22 17:14:31       -0.065847        0.9649
BFGS:   23 17:14:31       -0.125810        0.7623
BFGS:   24 17:14:32       -0.297892        1.0207
BFGS:   25 17:14:32       -0.391128        1.9557
BFGS:   26 17:14:32       -0.442260        0.7795
BFGS:   27 17:14:33       -0.501131        0.6957
BFGS:   28 17:14:33       -0.611051        1.1939
BFGS:   29 17:14:33       -0.667242        0.3333
BFGS:   30 17:14:33       -0.690681        0.3756
BFGS:   31 17:14:34       -0.715818        0.6008
BFGS:   32 17:14:34       -0.725128        0.1985
BFGS:   33 17:14:34       -0.736630        0.2891
BFGS:   34 17:14:35       -0.746029        0.2165
BFGS:   35 17:14:35       -0.744813        0.2073
BFGS:   36 17:14:35       -0.756520        0.1977
BFGS:   37 17:14:35       -0.760816        0.1549
BFGS:   38 17:14:36       -0.775198        0.1988
BFGS:   39 17:14:36       -0.782544        0.2784
BFGS:   40 17:14:36       -0.787888        0.1756
BFGS:   41 17:14:36       -0.796862        0.1905
BFGS:   42 17:14:37       -0.801974        0.1491
BFGS:   43 17:14:37       -0.814048        0.1565
BFGS:   44 17:14:37       -0.816260        0.1635
BFGS:   45 17:14:38       -0.812999        0.1405
BFGS:   46 17:14:38       -0.818911        0.1663
BFGS:   47 17:14:38       -0.823203        0.1793
BFGS:   48 17:14:38       -0.828283        0.2697
BFGS:   49 17:14:39       -0.831244        0.1632
BFGS:   50 17:14:39       -0.833930        0.1662
BFGS:   51 17:14:39       -0.847012        0.1347
BFGS:   52 17:14:39       -0.846430        0.1738
BFGS:   53 17:14:40       -0.867664        0.3390
BFGS:   54 17:14:40       -0.873836        0.0977
BFGS:   55 17:14:40       -0.869694        0.0990
BFGS:   56 17:14:41       -0.873314        0.0748
BFGS:   57 17:14:41       -0.876505        0.1490
BFGS:   58 17:14:41       -0.871921        0.1600
BFGS:   59 17:14:41       -0.881968        0.0700
BFGS:   60 17:14:42       -0.879176        0.2156
BFGS:   61 17:14:42       -0.883591        0.0905
BFGS:   62 17:14:42       -0.879692        0.1561
BFGS:   63 17:14:43       -0.884597        0.1461
BFGS:   64 17:14:43       -0.877071        0.1323
BFGS:   65 17:14:43       -0.882293        0.0225
      Step     Time          Energy         fmax
BFGS:    0 19:49:02        3.866241       13.6659
BFGS:    1 19:49:03        5.068636       18.9517
BFGS:    2 19:49:03        3.404194        5.6390
BFGS:    3 19:49:03        2.688796        1.9208
BFGS:    4 19:49:03        2.425962        5.5979
BFGS:    5 19:49:04        1.679168        7.1839
BFGS:    6 19:49:04        1.476163        6.4729
BFGS:    7 19:49:04        1.115739        2.6570
BFGS:    8 19:49:04        0.987920        1.3376
BFGS:    9 19:49:05        0.895185        0.8418
BFGS:   10 19:49:05        0.892007        0.7081
BFGS:   11 19:49:05        0.851757        0.6127
BFGS:   12 19:49:06        0.822829        0.9097
BFGS:   13 19:49:06        0.773803        1.2526
BFGS:   14 19:49:06        0.696796        1.2443
BFGS:   15 19:49:06        0.634600        0.8498
BFGS:   16 19:49:07        0.565119        1.2274
BFGS:   17 19:49:07        0.472736        1.6295
BFGS:   18 19:49:07        0.371192        1.0468
BFGS:   19 19:49:07        0.339175        0.6980
BFGS:   20 19:49:08        0.275542        0.6814
BFGS:   21 19:49:08        0.219378        0.8734
BFGS:   22 19:49:08        0.196002        0.5938
BFGS:   23 19:49:09        0.162474        0.5213
BFGS:   24 19:49:09        0.123793        0.6757
BFGS:   25 19:49:09        0.066179        1.0280
BFGS:   26 19:49:09        0.030490        1.0813
BFGS:   27 19:49:10       -0.024294        0.8750
BFGS:   28 19:49:10       -0.068548        0.7767
BFGS:   29 19:49:10       -0.167085        1.2006
BFGS:   30 19:49:11       -0.270685        1.6855
BFGS:   31 19:49:11       -0.334684        1.9009
BFGS:   32 19:49:11       -0.413646        1.7885
BFGS:   33 19:49:11       -0.494531        1.0672
BFGS:   34 19:49:12       -0.665813        1.3672
BFGS:   35 19:49:12       -0.705404        0.8396
BFGS:   36 19:49:12       -0.768682        0.7297
BFGS:   37 19:49:12       -0.842731        0.8227
BFGS:   38 19:49:13       -0.875259        0.8318
BFGS:   39 19:49:13       -0.939632        0.5896
BFGS:   40 19:49:13       -0.994831        0.5293
BFGS:   41 19:49:14       -1.010481        0.4320
BFGS:   42 19:49:14       -1.056457        0.4536
BFGS:   43 19:49:14       -1.073526        0.5613
BFGS:   44 19:49:14       -1.106508        0.7782
BFGS:   45 19:49:15       -1.145966        0.6279
BFGS:   46 19:49:15       -1.179288        0.5554
BFGS:   47 19:49:15       -1.214553        0.6081
BFGS:   48 19:49:15       -1.236437        0.5443
BFGS:   49 19:49:16       -1.246158        0.3765
BFGS:   50 19:49:16       -1.264559        0.3165
      Step     Time          Energy         fmax
BFGS:    0 12:24:29     -829.954834       14.4481
BFGS:    1 12:24:29     -829.151428       17.9121
BFGS:    2 12:24:29     -830.524109        4.7508
BFGS:    3 12:24:29     -831.026428        1.8015
BFGS:    4 12:24:29     -831.118225        6.3467
BFGS:    5 12:24:29     -831.344238        2.2411
BFGS:    6 12:24:29     -831.651306        1.6949
BFGS:    7 12:24:29     -831.856018        2.4199
BFGS:    8 12:24:29     -832.038086        2.1424
BFGS:    9 12:24:29     -832.818237        1.2486
BFGS:   10 12:24:29     -833.186462        1.3425
BFGS:   11 12:24:30     -833.350464        3.5688
BFGS:   12 12:24:30     -833.422852        1.1346
BFGS:   13 12:24:30     -833.500793        0.6701
BFGS:   14 12:24:30     -833.678833        1.1016
BFGS:   15 12:24:30     -833.769775        1.0831
BFGS:   16 12:24:30     -833.866150        1.0182
BFGS:   17 12:24:30     -833.932800        1.1784
BFGS:   18 12:24:30     -833.946960        1.0489
BFGS:   19 12:24:30     -833.954163        0.3440
BFGS:   20 12:24:30     -833.939819        0.4050
BFGS:   21 12:24:30     -833.966431        0.7007
BFGS:   22 12:24:30     -834.033325        0.8157
BFGS:   23 12:24:30     -834.080078        0.4932
BFGS:   24 12:24:31     -834.105164        0.3437
BFGS:   25 12:24:31     -834.115723        0.4928
BFGS:   26 12:24:31     -834.103088        0.6658
BFGS:   27 12:24:31     -834.104065        0.5510
BFGS:   28 12:24:31     -834.078247        0.1616
BFGS:   29 12:24:31     -834.103943        0.1652
BFGS:   30 12:24:31     -834.138611        0.1903
BFGS:   31 12:24:31     -834.157043        0.1842
BFGS:   32 12:24:31     -834.164551        0.1099
BFGS:   33 12:24:31     -834.170837        0.0659
BFGS:   34 12:24:31     -834.171021        0.0526
BFGS:   35 12:24:31     -834.180908        0.0413
      Step     Time          Energy         fmax
BFGS:    0 12:53:47        3.856635       13.5125
BFGS:    1 12:53:47        4.814744       17.7707
BFGS:    2 12:53:48        3.364993        5.3577
BFGS:    3 12:53:48        2.725067        1.6762
BFGS:    4 12:53:48        2.503528        4.0031
BFGS:    5 12:53:48        1.684136        7.0655
BFGS:    6 12:53:48        1.453832        4.4919
BFGS:    7 12:53:48        1.212760        1.1246
BFGS:    8 12:53:48        1.175722        0.9739
BFGS:    9 12:53:48        1.088801        0.5090
BFGS:   10 12:53:49        1.057645        0.5127
BFGS:   11 12:53:49        1.013292        0.6288
BFGS:   12 12:53:49        0.980984        0.6185
BFGS:   13 12:53:49        0.954813        0.4533
BFGS:   14 12:53:49        0.914670        0.5209
BFGS:   15 12:53:49        0.881212        0.5960
BFGS:   16 12:53:49        0.854747        0.4541
BFGS:   17 12:53:49        0.841030        0.1962
BFGS:   18 12:53:49        0.828532        0.1945
BFGS:   19 12:53:50        0.818929        0.2428
BFGS:   20 12:53:50        0.806228        0.3278
BFGS:   21 12:53:50        0.809679        0.5138
BFGS:   22 12:53:50        0.803966        0.5875
BFGS:   23 12:53:50        0.794052        0.6199
BFGS:   24 12:53:50        0.749204        1.0929
BFGS:   25 12:53:50        0.725128        1.0987
BFGS:   26 12:53:50        0.665929        0.7962
BFGS:   27 12:53:50        0.584913        0.5395
BFGS:   28 12:53:51        0.524967        0.5486
BFGS:   29 12:53:51        0.490117        0.6854
BFGS:   30 12:53:51        0.429529        0.9453
BFGS:   31 12:53:51        0.349505        1.0998
BFGS:   32 12:53:51        0.277470        0.6208
BFGS:   33 12:53:51        0.215855        0.7079
BFGS:   34 12:53:51        0.186641        0.7342
BFGS:   35 12:53:51        0.164967        0.9881
BFGS:   36 12:53:51        0.131863        1.2093
BFGS:   37 12:53:52        0.078745        1.0852
BFGS:   38 12:53:52       -0.016479        0.9858
BFGS:   39 12:53:52       -0.090284        1.1813
BFGS:   40 12:53:52       -0.171902        1.6173
BFGS:   41 12:53:52       -0.405319        1.1912
BFGS:   42 12:53:52       -0.403952        2.9603
BFGS:   43 12:53:52       -0.623946        1.7648
BFGS:   44 12:53:52       -0.643455        1.7774
BFGS:   45 12:53:53       -0.748193        0.5739
BFGS:   46 12:53:53       -0.796791        1.1274
BFGS:   47 12:53:53       -0.852046        0.9159
BFGS:   48 12:53:53       -0.951275        0.6602
BFGS:   49 12:53:53       -1.000797        0.6589
BFGS:   50 12:53:53       -1.072654        0.7053
