      Step     Time          Energy         fmax
BFGS:    0 17:13:50        4.062903       15.6523
BFGS:    1 17:13:50        4.956758       20.9994
BFGS:    2 17:13:51        3.282434        4.3324
BFGS:    3 17:13:51        2.738658        2.9263
BFGS:    4 17:13:51        2.801899       17.4261
BFGS:    5 17:13:52        1.722166        4.8299
BFGS:    6 17:13:52        0.902144        4.0806
BFGS:    7 17:13:52        0.368711        3.3421
BFGS:    8 17:13:52        0.193072        2.8496
BFGS:    9 17:13:53        0.131366        6.4826
BFGS:   10 17:13:53       -0.119904        1.4675
BFGS:   11 17:13:53       -0.182264        0.9111
BFGS:   12 17:13:54       -0.227662        0.9071
BFGS:   13 17:13:54       -0.280124        1.4394
BFGS:   14 17:13:54       -0.416804        1.3032
BFGS:   15 17:13:54       -0.443310        0.6578
BFGS:   16 17:13:55       -0.477991        0.6021
BFGS:   17 17:13:55       -0.501802        0.8899
BFGS:   18 17:13:55       -0.524423        0.8899
BFGS:   19 17:13:55       -0.541661        0.5140
BFGS:   20 17:13:56       -0.545164        0.2386
BFGS:   21 17:13:56       -0.561232        0.2886
BFGS:   22 17:13:56       -0.567227        0.3467
BFGS:   23 17:13:57       -0.584113        0.2102
BFGS:   24 17:13:57       -0.580903        0.0657
BFGS:   25 17:13:57       -0.589274        0.0881
BFGS:   26 17:13:57       -0.585285        0.1360
BFGS:   27 17:13:58       -0.597340        0.1133
BFGS:   28 17:13:58       -0.599590        0.2897
BFGS:   29 17:13:58       -0.612219        0.1645
BFGS:   30 17:13:58       -0.610099        0.0690
BFGS:   31 17:13:59       -0.614921        0.0541
BFGS:   32 17:13:59       -0.622190        0.0575
BFGS:   33 17:13:59       -0.612028        0.1405
BFGS:   34 17:14:00       -0.612627        0.1936
BFGS:   35 17:14:00       -0.625883        0.1831
BFGS:   36 17:14:00       -0.639084        0.1137
BFGS:   37 17:14:00       -0.629445        0.0588
BFGS:   38 17:14:01       -0.644897        0.1092
BFGS:   39 17:14:01       -0.640736        0.1350
BFGS:   40 17:14:01       -0.648639        0.1486
BFGS:   41 17:14:01       -0.664707        0.1474
BFGS:   42 17:14:02       -0.674028        0.2129
BFGS:   43 17:14:02       -0.671575        0.5405
BFGS:   44 17:14:02       -0.685039        0.3010
BFGS:   45 17:14:03       -0.698583        0.2867
BFGS:   46 17:14:03       -0.684573        1.0819
BFGS:   47 17:14:03       -0.742992        0.2833
BFGS:   48 17:14:03       -0.776388        0.3923
BFGS:   49 17:14:04       -0.755312        0.9836
BFGS:   50 17:14:04       -0.820711        0.6395
BFGS:   51 17:14:04       -0.839178        0.6550
BFGS:   52 17:14:05       -0.881621        1.0028
BFGS:   53 17:14:05       -0.895173        0.4282
BFGS:   54 17:14:05       -0.914572        0.3472
BFGS:   55 17:14:05       -0.952504        0.5989
BFGS:   56 17:14:06       -0.964253        0.6102
BFGS:   57 17:14:06       -1.003367        0.4287
BFGS:   58 17:14:06       -1.027652        0.3584
BFGS:   59 17:14:06       -1.034543        0.2044
BFGS:   60 17:14:07       -1.050781        0.3105
BFGS:   61 17:14:07       -1.053376        0.3638
BFGS:   62 17:14:07       -1.072951        0.2638
BFGS:   63 17:14:08       -1.067184        0.2848
BFGS:   64 17:14:08       -1.054121        0.2550
BFGS:   65 17:14:08       -1.080253        0.2335
BFGS:   66 17:14:08       -1.077903        0.2170
BFGS:   67 17:14:09       -1.085916        0.3386
BFGS:   68 17:14:09       -1.098363        0.3653
BFGS:   69 17:14:09       -1.093326        0.1943
BFGS:   70 17:14:09       -1.110672        0.1613
BFGS:   71 17:14:10       -1.102155        0.1711
BFGS:   72 17:14:10       -1.123554        0.2229
BFGS:   73 17:14:10       -1.122962        0.1883
BFGS:   74 17:14:11       -1.128895        0.0991
BFGS:   75 17:14:11       -1.131698        0.0562
BFGS:   76 17:14:11       -1.138387        0.0624
BFGS:   77 17:14:11       -1.130262        0.0669
BFGS:   78 17:14:12       -1.133584        0.0706
BFGS:   79 17:14:12       -1.143073        0.0570
BFGS:   80 17:14:12       -1.140857        0.0343
      Step     Time          Energy         fmax
BFGS:    0 19:48:40        3.614380       17.9548
BFGS:    1 19:48:40        3.729248       18.6948
BFGS:    2 19:48:40        2.233779        3.9220
BFGS:    3 19:48:41        1.797874        3.2046
BFGS:    4 19:48:41        0.915045        6.3875
BFGS:    5 19:48:41        0.623725        4.6855
BFGS:    6 19:48:42       -0.066439        3.0121
BFGS:    7 19:48:42       -0.327375        2.1629
BFGS:    8 19:48:42       -0.453195        1.8189
