      Step     Time          Energy         fmax
BFGS:    0 17:48:52        4.155799       16.0096
BFGS:    1 17:48:53        5.121643       22.5492
BFGS:    2 17:48:53        3.304820        4.1945
BFGS:    3 17:48:53        2.726187        2.9437
BFGS:    4 17:48:54        3.306243       23.9916
BFGS:    5 17:48:54        1.757352        3.6463
BFGS:    6 17:48:54        1.218167        3.9088
BFGS:    7 17:48:54        0.740475        3.2006
BFGS:    8 17:48:55        0.608251        2.6205
BFGS:    9 17:48:55        0.372814        3.2697
BFGS:   10 17:48:55        0.274213        1.2859
BFGS:   11 17:48:55        0.192106        0.9934
BFGS:   12 17:48:56        0.043969        0.5100
BFGS:   13 17:48:56        0.017129        0.5577
BFGS:   14 17:48:56       -0.003892        0.4376
BFGS:   15 17:48:57       -0.057040        0.3677
BFGS:   16 17:48:57       -0.063459        0.3143
BFGS:   17 17:48:57       -0.073082        0.2503
BFGS:   18 17:48:57       -0.083469        0.2201
BFGS:   19 17:48:58       -0.086693        0.1723
BFGS:   20 17:48:58       -0.079658        0.2214
BFGS:   21 17:48:58       -0.098295        0.2383
BFGS:   22 17:48:58       -0.107024        0.2767
BFGS:   23 17:48:59       -0.127221        0.2471
BFGS:   24 17:48:59       -0.122274        0.1360
BFGS:   25 17:48:59       -0.124648        0.1395
BFGS:   26 17:49:00       -0.127039        0.1913
BFGS:   27 17:49:00       -0.133502        0.2270
BFGS:   28 17:49:00       -0.142350        0.2771
BFGS:   29 17:49:00       -0.136493        0.1669
BFGS:   30 17:49:01       -0.140470        0.0445
      Step     Time          Energy         fmax
BFGS:    0 20:16:59        4.463071       16.7434
BFGS:    1 20:17:00        4.838872       17.9371
BFGS:    2 20:17:00        3.283999        4.0193
BFGS:    3 20:17:00        2.807728        2.5502
BFGS:    4 20:17:01        2.549613       12.1613
BFGS:    5 20:17:01        1.953335        3.9842
BFGS:    6 20:17:01        1.599177        3.3435
BFGS:    7 20:17:01        1.277582        3.4152
BFGS:    8 20:17:02        1.048184        1.7812
BFGS:    9 20:17:02        0.863531        2.0637
BFGS:   10 20:17:02        0.695717        1.7129
BFGS:   11 20:17:03        0.438844        2.0190
BFGS:   12 20:17:03        0.340297        1.3387
BFGS:   13 20:17:03        0.203953        0.8440
BFGS:   14 20:17:04        0.150745        0.6619
BFGS:   15 20:17:04        0.099797        0.5278
BFGS:   16 20:17:04        0.057211        0.4599
BFGS:   17 20:17:04        0.041107        0.4001
BFGS:   18 20:17:05        0.053898        0.3333
BFGS:   19 20:17:05        0.050442        0.1377
BFGS:   20 20:17:05        0.056519        0.1101
BFGS:   21 20:17:06        0.058021        0.1246
BFGS:   22 20:17:06        0.051275        0.1327
