      Step     Time          Energy         fmax
BFGS:    0 17:49:40        4.233934       13.8731
BFGS:    1 17:49:40        5.080282       16.6921
BFGS:    2 17:49:41        3.586622        5.3133
BFGS:    3 17:49:41        2.881330        1.7398
BFGS:    4 17:49:41        2.658037        5.2109
BFGS:    5 17:49:41        2.219321        4.7316
BFGS:    6 17:49:42        1.894793        2.2401
BFGS:    7 17:49:42        1.746873        2.0110
BFGS:    8 17:49:42        1.629033        1.7550
BFGS:    9 17:49:42        1.529189        3.5160
BFGS:   10 17:49:43        1.410463        1.0715
BFGS:   11 17:49:43        1.356161        0.8289
BFGS:   12 17:49:43        1.229910        1.9446
BFGS:   13 17:49:44        1.148730        1.9652
BFGS:   14 17:49:44        1.039804        2.0487
BFGS:   15 17:49:44        0.909900        1.8376
BFGS:   16 17:49:44        0.583885        1.4551
BFGS:   17 17:49:45        0.539578        2.1647
BFGS:   18 17:49:45        0.488450        1.7608
BFGS:   19 17:49:45        0.381704        1.1594
BFGS:   20 17:49:46        0.231189        0.5810
BFGS:   21 17:49:46        0.143958        0.9116
BFGS:   22 17:49:46        0.104307        0.8126
BFGS:   23 17:49:46        0.037574        0.5494
BFGS:   24 17:49:47       -0.010924        0.3778
BFGS:   25 17:49:47       -0.028672        0.5181
BFGS:   26 17:49:47       -0.044938        0.4584
BFGS:   27 17:49:47       -0.063937        0.3825
BFGS:   28 17:49:48       -0.069085        0.4164
BFGS:   29 17:49:48       -0.065751        0.3852
BFGS:   30 17:49:48       -0.078403        0.3931
BFGS:   31 17:49:49       -0.101794        0.3649
BFGS:   32 17:49:49       -0.106430        0.4105
BFGS:   33 17:49:49       -0.113137        0.3312
BFGS:   34 17:49:49       -0.126992        0.2553
BFGS:   35 17:49:50       -0.129619        0.2243
BFGS:   36 17:49:50       -0.130877        0.2103
BFGS:   37 17:49:50       -0.132517        0.1840
BFGS:   38 17:49:50       -0.135136        0.1173
BFGS:   39 17:49:51       -0.141074        0.0906
BFGS:   40 17:49:51       -0.134968        0.0620
BFGS:   41 17:49:51       -0.138403        0.0302
      Step     Time          Energy         fmax
BFGS:    0 20:17:53        3.994946       12.7953
BFGS:    1 20:17:53        5.437135       21.0125
BFGS:    2 20:17:53        3.648798        5.8790
BFGS:    3 20:17:54        2.965741        1.8623
BFGS:    4 20:17:54        2.775306        2.5290
BFGS:    5 20:17:54        2.327375        3.8995
BFGS:    6 20:17:54        2.189419        2.2014
BFGS:    7 20:17:55        2.032822        2.7078
BFGS:    8 20:17:55        1.732070        3.3606
BFGS:    9 20:17:55        1.714665        3.1618
BFGS:   10 20:17:56        1.700028        3.5751
BFGS:   11 20:17:56        1.661181        3.9462
BFGS:   12 20:17:56        1.544963        3.9597
BFGS:   13 20:17:56        1.451492        2.9751
BFGS:   14 20:17:57        1.393812        2.1327
BFGS:   15 20:17:57        1.350255        1.3973
BFGS:   16 20:17:57        1.328447        1.3760
BFGS:   17 20:17:58        1.302513        1.2942
BFGS:   18 20:17:58        1.284886        1.1517
BFGS:   19 20:17:58        1.275395        1.2819
BFGS:   20 20:17:58        1.263248        1.3476
BFGS:   21 20:17:59        1.253085        1.3847
BFGS:   22 20:17:59        1.220001        0.8962
BFGS:   23 20:17:59        1.207010        0.9492
BFGS:   24 20:18:00        1.197536        0.4541
BFGS:   25 20:18:00        1.197454        0.5842
BFGS:   26 20:18:00        1.177324        0.5588
BFGS:   27 20:18:01        1.178819        0.5182
BFGS:   28 20:18:01        1.177148        0.4495
BFGS:   29 20:18:01        1.167994        0.3855
BFGS:   30 20:18:01        1.166214        0.4493
BFGS:   31 20:18:02        1.165977        0.4396
BFGS:   32 20:18:02        1.166736        0.3924
BFGS:   33 20:18:02        1.175388        0.3809
BFGS:   34 20:18:03        1.172268        0.3872
BFGS:   35 20:18:03        1.169102        0.4072
BFGS:   36 20:18:03        1.171563        0.3180
BFGS:   37 20:18:04        1.157180        0.2474
BFGS:   38 20:18:04        1.167499        0.2515
BFGS:   39 20:18:04        1.155249        0.3817
BFGS:   40 20:18:04        1.151731        0.2401
BFGS:   41 20:18:05        1.150964        0.2498
BFGS:   42 20:18:05        1.160317        0.2622
BFGS:   43 20:18:05        1.158335        0.3017
BFGS:   44 20:18:06        1.158326        0.3623
BFGS:   45 20:18:06        1.149010        0.7103
BFGS:   46 20:18:06        1.145474        0.3980
BFGS:   47 20:18:06        1.134979        0.3462
BFGS:   48 20:18:07        1.137788        1.0068
BFGS:   49 20:18:07        1.116183        0.6087
BFGS:   50 20:18:07        1.100523        0.5108
      Step     Time          Energy         fmax
BFGS:    0 12:32:23     -854.456238       14.5960
BFGS:    1 12:32:23     -853.382507       21.2124
BFGS:    2 12:32:23     -854.942444        4.6181
BFGS:    3 12:32:23     -855.510864        2.5839
BFGS:    4 12:32:23     -855.628357       14.1548
BFGS:    5 12:32:23     -856.137512        2.6931
BFGS:    6 12:32:23     -856.579956        2.6431
BFGS:    7 12:32:23     -856.851257        2.6408
BFGS:    8 12:32:23     -857.060730        1.8653
BFGS:    9 12:32:23     -857.185364        1.3704
BFGS:   10 12:32:23     -857.248413        0.6936
BFGS:   11 12:32:23     -857.296509        0.6843
BFGS:   12 12:32:23     -857.428711        0.8851
BFGS:   13 12:32:24     -857.469055        0.8346
BFGS:   14 12:32:24     -857.575684        0.6850
BFGS:   15 12:32:24     -857.707153        0.8272
BFGS:   16 12:32:24     -857.678772        0.6716
BFGS:   17 12:32:24     -857.687134        0.6953
BFGS:   18 12:32:24     -857.666931        0.5833
BFGS:   19 12:32:24     -857.706970        0.4204
BFGS:   20 12:32:24     -857.758972        0.4961
BFGS:   21 12:32:24     -857.772705        0.4752
BFGS:   22 12:32:24     -857.771179        0.4352
BFGS:   23 12:32:24     -857.773560        0.2834
BFGS:   24 12:32:24     -857.771606        0.2505
BFGS:   25 12:32:24     -857.763611        0.2699
BFGS:   26 12:32:25     -857.756104        0.3220
BFGS:   27 12:32:25     -857.766357        0.3019
BFGS:   28 12:32:25     -857.771240        0.2584
BFGS:   29 12:32:25     -857.776306        0.1848
BFGS:   30 12:32:25     -857.819092        0.0516
BFGS:   31 12:32:25     -857.813721        0.0372
      Step     Time          Energy         fmax
BFGS:    0 13:06:16        4.498974       17.5270
BFGS:    1 13:06:16        4.358640       16.3741
BFGS:    2 13:06:17        2.996128        3.5357
BFGS:    3 13:06:17        2.558861        2.5855
BFGS:    4 13:06:17        2.041479       10.5924
BFGS:    5 13:06:17        1.522320        4.1482
BFGS:    6 13:06:17        1.216996        3.3594
BFGS:    7 13:06:17        0.780443        2.9081
BFGS:    8 13:06:17        0.568875        1.8292
BFGS:    9 13:06:17        0.400606        2.0602
BFGS:   10 13:06:17        0.221536        1.2230
BFGS:   11 13:06:18        0.161036        0.9484
BFGS:   12 13:06:18        0.115974        0.9072
BFGS:   13 13:06:18        0.045695        0.9266
BFGS:   14 13:06:18        0.023188        0.5135
BFGS:   15 13:06:18        0.006388        0.3466
BFGS:   16 13:06:18       -0.005422        0.3896
BFGS:   17 13:06:18       -0.017948        0.3528
BFGS:   18 13:06:18       -0.018173        0.2011
BFGS:   19 13:06:18       -0.023579        0.1159
BFGS:   20 13:06:19       -0.022074        0.1562
BFGS:   21 13:06:19       -0.022452        0.1575
BFGS:   22 13:06:19       -0.026542        0.1286
BFGS:   23 13:06:19       -0.029034        0.1827
