      Step     Time          Energy         fmax
BFGS:    0 17:49:01        4.159146       12.3300
BFGS:    1 17:49:01        5.590673       21.0284
BFGS:    2 17:49:01        3.774052        6.2228
BFGS:    3 17:49:02        3.068405        2.4116
BFGS:    4 17:49:02        2.834780        2.8030
BFGS:    5 17:49:02        2.475653        5.8190
BFGS:    6 17:49:03        2.097083        2.3759
BFGS:    7 17:49:03        1.880903        2.9641
BFGS:    8 17:49:03        1.175412        3.3283
BFGS:    9 17:49:03        1.056719        2.2934
BFGS:   10 17:49:04        0.922877        1.6716
BFGS:   11 17:49:04        0.852492        0.9836
BFGS:   12 17:49:04        0.808165        0.8115
BFGS:   13 17:49:05        0.807920        0.6258
BFGS:   14 17:49:05        0.791414        0.5343
BFGS:   15 17:49:05        0.761570        0.4111
BFGS:   16 17:49:05        0.736354        0.4654
BFGS:   17 17:49:06        0.700385        0.4676
BFGS:   18 17:49:06        0.678893        0.4804
BFGS:   19 17:49:06        0.655832        0.3832
BFGS:   20 17:49:06        0.635440        0.2546
BFGS:   21 17:49:07        0.618244        0.2072
BFGS:   22 17:49:07        0.607734        0.1843
BFGS:   23 17:49:07        0.601012        0.2024
BFGS:   24 17:49:08        0.603522        0.1737
BFGS:   25 17:49:08        0.604799        0.2060
BFGS:   26 17:49:08        0.598700        0.1476
BFGS:   27 17:49:08        0.603403        0.1209
BFGS:   28 17:49:09        0.598545        0.1221
BFGS:   29 17:49:09        0.591808        0.1565
BFGS:   30 17:49:09        0.591511        0.1945
BFGS:   31 17:49:09        0.590570        0.1643
BFGS:   32 17:49:10        0.585543        0.1834
BFGS:   33 17:49:10        0.584033        0.1717
BFGS:   34 17:49:10        0.585769        0.1761
BFGS:   35 17:49:11        0.585747        0.2201
BFGS:   36 17:49:11        0.572262        0.2587
BFGS:   37 17:49:11        0.568335        0.3148
BFGS:   38 17:49:11        0.562929        0.2453
BFGS:   39 17:49:12        0.546552        0.1787
BFGS:   40 17:49:12        0.546203        0.3266
BFGS:   41 17:49:12        0.538935        0.1996
BFGS:   42 17:49:12        0.534294        0.5156
BFGS:   43 17:49:13        0.525857        0.3113
BFGS:   44 17:49:13        0.521616        0.4095
BFGS:   45 17:49:13        0.513188        0.2295
BFGS:   46 17:49:14        0.512028        0.4473
BFGS:   47 17:49:14        0.506723        0.4412
BFGS:   48 17:49:14        0.480698        0.3067
BFGS:   49 17:49:14        0.470644        0.2105
BFGS:   50 17:49:15        0.471102        0.1724
BFGS:   51 17:49:15        0.466386        0.1576
BFGS:   52 17:49:15        0.462271        0.1485
BFGS:   53 17:49:16        0.453497        0.1701
BFGS:   54 17:49:16        0.460046        0.1237
BFGS:   55 17:49:16        0.450374        0.1237
BFGS:   56 17:49:16        0.449734        0.0537
BFGS:   57 17:49:17        0.449220        0.0506
BFGS:   58 17:49:17        0.448352        0.0637
BFGS:   59 17:49:17        0.446774        0.0442
      Step     Time          Energy         fmax
BFGS:    0 20:17:12        4.111328       16.7789
BFGS:    1 20:17:13        5.063386       22.7342
BFGS:    2 20:17:13        3.238038        4.1654
BFGS:    3 20:17:13        2.673951        2.8041
BFGS:    4 20:17:13        3.316753       22.1149
BFGS:    5 20:17:14        1.918636        2.6587
BFGS:    6 20:17:14        1.551423        3.1152
BFGS:    7 20:17:14        1.048914        3.3432
BFGS:    8 20:17:15        0.916457        2.0351
BFGS:    9 20:17:15        0.752850        1.0860
BFGS:   10 20:17:15        0.667900        0.9243
BFGS:   11 20:17:15        0.615067        0.7138
BFGS:   12 20:17:16        0.584049        0.6324
BFGS:   13 20:17:16        0.546174        0.4372
BFGS:   14 20:17:16        0.527594        0.4065
BFGS:   15 20:17:17        0.500817        0.4448
BFGS:   16 20:17:17        0.452319        0.4543
BFGS:   17 20:17:17        0.414955        0.4290
BFGS:   18 20:17:18        0.399608        0.3859
BFGS:   19 20:17:18        0.376938        0.4785
BFGS:   20 20:17:18        0.359438        0.3859
BFGS:   21 20:17:18        0.348256        0.3643
BFGS:   22 20:17:19        0.329129        0.3528
BFGS:   23 20:17:19        0.308326        0.3413
BFGS:   24 20:17:19        0.299325        0.3265
BFGS:   25 20:17:20        0.291201        0.3097
BFGS:   26 20:17:20        0.281446        0.3174
BFGS:   27 20:17:20        0.262975        0.3082
BFGS:   28 20:17:20        0.257053        0.2437
