      Step     Time          Energy         fmax
BFGS:    0 17:56:02       -0.531468        0.7962
BFGS:    1 17:56:02       -0.555901        0.7343
BFGS:    2 17:56:02       -0.658132        0.5375
BFGS:    3 17:56:03       -0.668313        0.2520
BFGS:    4 17:56:03       -0.678415        0.2394
BFGS:    5 17:56:03       -0.722079        0.2935
BFGS:    6 17:56:03       -0.728460        0.2745
BFGS:    7 17:56:03       -0.732959        0.2618
BFGS:    8 17:56:04       -0.738466        0.2639
BFGS:    9 17:56:04       -0.746912        0.3144
BFGS:   10 17:56:04       -0.794935        0.4560
BFGS:   11 17:56:04       -0.818174        0.5575
BFGS:   12 17:56:04       -0.841433        0.6478
BFGS:   13 17:56:05       -0.910664        0.5834
BFGS:   14 17:56:05       -0.960406        0.4849
BFGS:   15 17:56:05       -1.002219        0.3764
BFGS:   16 17:56:05       -1.023079        0.3300
BFGS:   17 17:56:05       -1.041437        0.2028
BFGS:   18 17:56:05       -1.045718        0.1606
BFGS:   19 17:56:06       -1.047494        0.1650
BFGS:   20 17:56:06       -1.046143        0.1494
BFGS:   21 17:56:06       -1.061708        0.1031
BFGS:   22 17:56:06       -1.068583        0.0659
BFGS:   23 17:56:06       -1.074593        0.0518
BFGS:   24 17:56:07       -1.074997        0.0566
BFGS:   25 17:56:07       -1.070083        0.0470
      Step     Time          Energy         fmax
BFGS:    0 20:22:45        0.048381        0.6636
BFGS:    1 20:22:45        0.032578        0.6240
BFGS:    2 20:22:45       -0.073153        0.7906
BFGS:    3 20:22:46       -0.092087        0.4002
BFGS:    4 20:22:46       -0.100499        0.3364
BFGS:    5 20:22:46       -0.139647        0.2411
BFGS:    6 20:22:46       -0.143998        0.2254
BFGS:    7 20:22:46       -0.143927        0.2139
BFGS:    8 20:22:47       -0.151285        0.2357
BFGS:    9 20:22:47       -0.161712        0.3902
BFGS:   10 20:22:47       -0.197370        0.6032
BFGS:   11 20:22:47       -0.218062        0.8208
BFGS:   12 20:22:48       -0.237181        0.7346
BFGS:   13 20:22:48       -0.258743        0.6844
BFGS:   14 20:22:48       -0.313018        0.5980
BFGS:   15 20:22:48       -0.368027        0.4601
BFGS:   16 20:22:48       -0.408413        0.5403
BFGS:   17 20:22:49       -0.434815        0.4851
BFGS:   18 20:22:49       -0.458806        0.3384
BFGS:   19 20:22:49       -0.485229        0.3636
BFGS:   20 20:22:49       -0.523803        0.3413
      Step     Time          Energy         fmax
BFGS:    0 12:33:53     -343.584106        1.3782
BFGS:    1 12:33:53     -343.683441        1.2466
BFGS:    2 12:33:53     -343.709930        1.8253
BFGS:    3 12:33:53     -343.831635        0.3430
BFGS:    4 12:33:54     -343.854706        0.1792
BFGS:    5 12:33:54     -343.849426        0.2775
BFGS:    6 12:33:54     -343.843353        0.3700
BFGS:    7 12:33:54     -343.795654        0.3748
BFGS:    8 12:33:54     -343.772064        0.1728
BFGS:    9 12:33:54     -343.758118        0.0526
BFGS:   10 12:33:54     -343.763092        0.0286
      Step     Time          Energy         fmax
BFGS:    0 13:08:19       -0.417869        0.6125
BFGS:    1 13:08:19       -0.433658        0.5392
BFGS:    2 13:08:19       -0.575171        0.4046
BFGS:    3 13:08:19       -0.582652        0.3018
BFGS:    4 13:08:19       -0.598070        0.2360
BFGS:    5 13:08:19       -0.639202        0.2238
BFGS:    6 13:08:19       -0.648077        0.2096
BFGS:    7 13:08:19       -0.654470        0.1911
BFGS:    8 13:08:19       -0.656419        0.1897
BFGS:    9 13:08:20       -0.664291        0.1992
BFGS:   10 13:08:20       -0.673548        0.2097
BFGS:   11 13:08:20       -0.688886        0.1688
BFGS:   12 13:08:20       -0.696757        0.1335
BFGS:   13 13:08:20       -0.698274        0.1332
BFGS:   14 13:08:20       -0.701550        0.1529
BFGS:   15 13:08:20       -0.704090        0.1644
BFGS:   16 13:08:20       -0.705964        0.1537
BFGS:   17 13:08:20       -0.708138        0.1241
BFGS:   18 13:08:20       -0.709929        0.1052
BFGS:   19 13:08:20       -0.715068        0.1324
BFGS:   20 13:08:21       -0.720157        0.1844
