      Step     Time          Energy         fmax
BFGS:    0 17:55:24       -0.333407        0.5759
BFGS:    1 17:55:25       -0.346296        0.4956
BFGS:    2 17:55:25       -0.477726        0.3415
BFGS:    3 17:55:25       -0.485482        0.2745
BFGS:    4 17:55:25       -0.508165        0.1853
BFGS:    5 17:55:25       -0.517794        0.1740
BFGS:    6 17:55:26       -0.528325        0.1589
BFGS:    7 17:55:26       -0.527302        0.1455
BFGS:    8 17:55:26       -0.536819        0.1406
BFGS:    9 17:55:26       -0.537193        0.1528
BFGS:   10 17:55:26       -0.540957        0.1698
BFGS:   11 17:55:27       -0.535107        0.1571
BFGS:   12 17:55:27       -0.549749        0.1445
BFGS:   13 17:55:27       -0.540966        0.1450
BFGS:   14 17:55:27       -0.550523        0.1529
BFGS:   15 17:55:27       -0.564225        0.2269
BFGS:   16 17:55:27       -0.596819        0.3336
BFGS:   17 17:55:28       -0.625667        0.3316
BFGS:   18 17:55:28       -0.645905        0.3946
BFGS:   19 17:55:28       -0.662321        0.5416
BFGS:   20 17:55:28       -0.690694        0.5080
BFGS:   21 17:55:28       -0.715987        0.6408
BFGS:   22 17:55:29       -0.781667        0.7181
BFGS:   23 17:55:29       -0.835588        0.5870
BFGS:   24 17:55:29       -0.881592        0.5579
BFGS:   25 17:55:29       -0.897021        0.5839
BFGS:   26 17:55:29       -0.931590        0.5193
BFGS:   27 17:55:30       -0.962180        0.4079
BFGS:   28 17:55:30       -0.999516        0.2445
BFGS:   29 17:55:30       -1.005865        0.4273
BFGS:   30 17:55:30       -1.015541        0.4358
BFGS:   31 17:55:30       -1.031952        0.2702
BFGS:   32 17:55:31       -1.040304        0.1534
BFGS:   33 17:55:31       -1.050983        0.1222
BFGS:   34 17:55:31       -1.057119        0.1026
BFGS:   35 17:55:31       -1.059119        0.0829
BFGS:   36 17:55:31       -1.065546        0.0719
BFGS:   37 17:55:31       -1.066848        0.0516
BFGS:   38 17:55:32       -1.070132        0.0483
      Step     Time          Energy         fmax
BFGS:    0 20:22:19       -0.603750        0.6861
BFGS:    1 20:22:19       -0.609460        0.6400
BFGS:    2 20:22:20       -0.701918        0.5602
BFGS:    3 20:22:20       -0.724948        0.2223
BFGS:    4 20:22:20       -0.733003        0.2036
BFGS:    5 20:22:20       -0.770120        0.1882
BFGS:    6 20:22:20       -0.769123        0.1852
BFGS:    7 20:22:21       -0.778572        0.1962
BFGS:    8 20:22:21       -0.786837        0.2131
BFGS:    9 20:22:21       -0.789593        0.2973
BFGS:   10 20:22:21       -0.801214        0.3214
BFGS:   11 20:22:21       -0.842968        0.5266
BFGS:   12 20:22:22       -0.871539        0.6549
BFGS:   13 20:22:22       -0.903019        0.5234
BFGS:   14 20:22:22       -0.952496        0.4033
BFGS:   15 20:22:22       -0.968403        0.2462
BFGS:   16 20:22:23       -0.978734        0.2261
BFGS:   17 20:22:23       -0.978046        0.1617
BFGS:   18 20:22:23       -0.990468        0.1220
BFGS:   19 20:22:23       -1.005265        0.1123
BFGS:   20 20:22:23       -1.005990        0.1154
      Step     Time          Energy         fmax
BFGS:    0 12:33:46     -344.638733        0.2906
BFGS:    1 12:33:46     -344.696686        0.2727
BFGS:    2 12:33:46     -344.788300        0.3012
BFGS:    3 12:33:46     -344.770813        0.3076
BFGS:    4 12:33:46     -344.759033        0.2755
BFGS:    5 12:33:46     -344.748627        0.1555
BFGS:    6 12:33:46     -344.751984        0.0782
BFGS:    7 12:33:46     -344.755005        0.0535
BFGS:    8 12:33:46     -344.754242        0.0360
      Step     Time          Energy         fmax
BFGS:    0 13:08:08        0.010474        0.7119
BFGS:    1 13:08:08       -0.005294        0.6666
BFGS:    2 13:08:08       -0.119736        0.5609
BFGS:    3 13:08:08       -0.123855        0.4542
BFGS:    4 13:08:08       -0.151756        0.2619
BFGS:    5 13:08:08       -0.167281        0.2269
BFGS:    6 13:08:08       -0.174019        0.1765
BFGS:    7 13:08:08       -0.179669        0.1429
BFGS:    8 13:08:08       -0.185981        0.1345
BFGS:    9 13:08:08       -0.195683        0.1603
BFGS:   10 13:08:08       -0.208887        0.2247
BFGS:   11 13:08:09       -0.214919        0.2786
BFGS:   12 13:08:09       -0.215186        0.2726
BFGS:   13 13:08:09       -0.219664        0.2943
BFGS:   14 13:08:09       -0.226619        0.3496
BFGS:   15 13:08:09       -0.249399        0.6711
BFGS:   16 13:08:09       -0.280927        0.6523
BFGS:   17 13:08:09       -0.378070        0.5658
BFGS:   18 13:08:09       -0.234773        1.6046
BFGS:   19 13:08:09       -0.447906        0.4416
BFGS:   20 13:08:09       -0.465518        0.4059
