      Step     Time          Energy         fmax
BFGS:    0 17:37:54        0.071183        0.6686
BFGS:    1 17:37:54        0.028067        0.6273
BFGS:    2 17:37:54       -0.215903        0.3588
BFGS:    3 17:37:54       -0.231910        0.3312
BFGS:    4 17:37:55       -0.292131        0.1871
BFGS:    5 17:37:55       -0.298475        0.1597
BFGS:    6 17:37:55       -0.298238        0.1041
BFGS:    7 17:37:56       -0.299978        0.0975
BFGS:    8 17:37:56       -0.308797        0.0929
BFGS:    9 17:37:56       -0.310836        0.0795
BFGS:   10 17:37:56       -0.309278        0.0511
BFGS:   11 17:37:57       -0.306751        0.0307
      Step     Time          Energy         fmax
BFGS:    0 20:07:36        0.371731        1.7997
BFGS:    1 20:07:36        0.269778        1.5762
BFGS:    2 20:07:37        0.083216        2.4414
BFGS:    3 20:07:37        0.007382        0.3865
BFGS:    4 20:07:37       -0.024590        0.3386
BFGS:    5 20:07:37       -0.052816        0.5754
BFGS:    6 20:07:38       -0.068081        0.5892
BFGS:    7 20:07:38       -0.086599        0.3021
BFGS:    8 20:07:38       -0.098759        0.1373
BFGS:    9 20:07:39       -0.102419        0.2092
BFGS:   10 20:07:39       -0.110205        0.2269
BFGS:   11 20:07:39       -0.112059        0.1818
BFGS:   12 20:07:39       -0.112447        0.0857
BFGS:   13 20:07:40       -0.112959        0.1096
BFGS:   14 20:07:40       -0.120092        0.1515
BFGS:   15 20:07:40       -0.120341        0.1394
BFGS:   16 20:07:41       -0.120250        0.0566
BFGS:   17 20:07:41       -0.120029        0.0141
      Step     Time          Energy         fmax
BFGS:    0 12:29:48     -562.566284        0.7851
BFGS:    1 12:29:48     -562.533081        0.7047
BFGS:    2 12:29:48     -562.673706        0.3711
BFGS:    3 12:29:48     -562.705383        0.3883
BFGS:    4 12:29:48     -562.763306        0.2224
BFGS:    5 12:29:48     -562.743042        0.0703
BFGS:    6 12:29:48     -562.746094        0.0450
      Step     Time          Energy         fmax
BFGS:    0 13:02:16        0.284837        0.7451
BFGS:    1 13:02:17        0.247120        0.6982
BFGS:    2 13:02:17       -0.034354        0.5208
BFGS:    3 13:02:17       -0.051548        0.3672
BFGS:    4 13:02:17       -0.081030        0.1415
BFGS:    5 13:02:17       -0.081215        0.1536
BFGS:    6 13:02:17       -0.079034        0.1351
BFGS:    7 13:02:17       -0.076830        0.1093
BFGS:    8 13:02:17       -0.076276        0.0969
BFGS:    9 13:02:17       -0.077253        0.0951
BFGS:   10 13:02:17       -0.081950        0.1032
BFGS:   11 13:02:18       -0.088521        0.1201
BFGS:   12 13:02:18       -0.098321        0.1478
BFGS:   13 13:02:18       -0.100150        0.1487
BFGS:   14 13:02:18       -0.105817        0.2748
BFGS:   15 13:02:18       -0.105465        0.4560
BFGS:   16 13:02:18       -0.103541        0.6726
BFGS:   17 13:02:18       -0.134892        0.5484
BFGS:   18 13:02:18       -0.199472        0.5757
BFGS:   19 13:02:18       -0.208750        0.4947
BFGS:   20 13:02:19       -0.246915        0.2513
