      Step     Time          Energy         fmax
BFGS:    0 17:37:51        0.114582        0.6333
BFGS:    1 17:37:51        0.060038        0.5865
BFGS:    2 17:37:51       -0.179938        0.2936
BFGS:    3 17:37:52       -0.191283        0.2834
BFGS:    4 17:37:52       -0.237854        0.1760
BFGS:    5 17:37:52       -0.235108        0.1713
BFGS:    6 17:37:52       -0.237301        0.1239
BFGS:    7 17:37:53       -0.243598        0.0604
BFGS:    8 17:37:53       -0.247308        0.0664
BFGS:    9 17:37:53       -0.246221        0.0622
BFGS:   10 17:37:53       -0.248247        0.0318
      Step     Time          Energy         fmax
BFGS:    0 20:07:33        0.348212        0.6654
BFGS:    1 20:07:33        0.294492        0.6197
BFGS:    2 20:07:33        0.064942        0.3437
BFGS:    3 20:07:33        0.041400        0.3424
BFGS:    4 20:07:34        0.004672        0.1141
BFGS:    5 20:07:34       -0.006122        0.1006
BFGS:    6 20:07:34       -0.008125        0.1088
BFGS:    7 20:07:35       -0.012616        0.1058
BFGS:    8 20:07:35       -0.015290        0.0908
BFGS:    9 20:07:35       -0.015819        0.0596
BFGS:   10 20:07:35       -0.014387        0.0510
BFGS:   11 20:07:36       -0.016473        0.0385
      Step     Time          Energy         fmax
BFGS:    0 12:29:47     -562.961670        0.7434
BFGS:    1 12:29:47     -562.912109        0.6728
BFGS:    2 12:29:47     -563.075073        0.2990
BFGS:    3 12:29:47     -563.093262        0.2743
BFGS:    4 12:29:47     -563.130920        0.2177
BFGS:    5 12:29:48     -563.116577        0.1759
BFGS:    6 12:29:48     -563.098511        0.1431
BFGS:    7 12:29:48     -563.093811        0.1243
BFGS:    8 12:29:48     -563.100769        0.0963
BFGS:    9 12:29:48     -563.102966        0.0632
BFGS:   10 12:29:48     -563.125305        0.0272
      Step     Time          Energy         fmax
BFGS:    0 13:02:14        0.169881        0.9100
BFGS:    1 13:02:14        0.144773        0.8521
BFGS:    2 13:02:14       -0.129198        0.9252
BFGS:    3 13:02:14       -0.157300        0.5264
BFGS:    4 13:02:15       -0.179239        0.4238
BFGS:    5 13:02:15       -0.217548        0.3279
BFGS:    6 13:02:15       -0.215416        0.2807
BFGS:    7 13:02:15       -0.226945        0.1675
BFGS:    8 13:02:15       -0.227259        0.1724
BFGS:    9 13:02:15       -0.233593        0.1638
BFGS:   10 13:02:15       -0.230287        0.1488
BFGS:   11 13:02:15       -0.229568        0.1335
BFGS:   12 13:02:15       -0.230827        0.1169
BFGS:   13 13:02:16       -0.234263        0.1073
BFGS:   14 13:02:16       -0.236238        0.1077
BFGS:   15 13:02:16       -0.241867        0.1198
BFGS:   16 13:02:16       -0.243967        0.1400
BFGS:   17 13:02:16       -0.244930        0.1389
BFGS:   18 13:02:16       -0.244900        0.1499
BFGS:   19 13:02:16       -0.249072        0.1855
BFGS:   20 13:02:16       -0.258572        0.2439
