      Step     Time          Energy         fmax
BFGS:    0 17:38:42        4.048019       13.2992
BFGS:    1 17:38:43        4.860942       15.4312
BFGS:    2 17:38:43        3.541110        5.5826
BFGS:    3 17:38:43        3.042596        1.4519
BFGS:    4 17:38:43        2.951873        1.7643
BFGS:    5 17:38:44        2.337606        2.0354
BFGS:    6 17:38:44        2.347545        2.3000
BFGS:    7 17:38:44        2.130805        2.0341
BFGS:    8 17:38:45        2.034437        2.3947
BFGS:    9 17:38:45        1.560650        3.7431
BFGS:   10 17:38:45        1.249073        3.4599
BFGS:   11 17:38:45        1.089559        2.9190
BFGS:   12 17:38:46        0.951158        1.0646
BFGS:   13 17:38:46        0.884486        0.8914
BFGS:   14 17:38:46        0.855295        1.0763
BFGS:   15 17:38:47        0.738228        1.8196
BFGS:   16 17:38:47        0.661963        1.1806
BFGS:   17 17:38:47        0.580285        1.0947
BFGS:   18 17:38:47        0.501566        0.8816
BFGS:   19 17:38:48        0.432816        0.9401
BFGS:   20 17:38:48        0.347993        0.7961
BFGS:   21 17:38:48        0.311041        0.7675
BFGS:   22 17:38:48        0.271558        0.8146
BFGS:   23 17:38:49        0.246779        0.6427
BFGS:   24 17:38:49        0.219533        0.5922
BFGS:   25 17:38:49        0.216484        0.6291
BFGS:   26 17:38:50        0.174102        0.4463
BFGS:   27 17:38:50        0.160605        0.3314
BFGS:   28 17:38:50        0.145990        0.2877
BFGS:   29 17:38:50        0.142998        0.2478
BFGS:   30 17:38:51        0.128118        0.3161
BFGS:   31 17:38:51        0.120137        0.3038
BFGS:   32 17:38:51        0.117597        0.3491
BFGS:   33 17:38:51        0.114082        0.2946
BFGS:   34 17:38:52        0.112634        0.2591
BFGS:   35 17:38:52        0.102359        0.2582
BFGS:   36 17:38:52        0.082651        0.2731
BFGS:   37 17:38:53        0.075119        0.3233
BFGS:   38 17:38:53        0.057760        0.2438
BFGS:   39 17:38:53        0.053020        0.2296
BFGS:   40 17:38:53        0.052268        0.1315
BFGS:   41 17:38:54        0.042915        0.1197
BFGS:   42 17:38:54        0.050718        0.0911
BFGS:   43 17:38:54        0.049612        0.0977
BFGS:   44 17:38:55        0.037833        0.1186
BFGS:   45 17:38:55        0.041148        0.1029
BFGS:   46 17:38:55        0.032746        0.1097
BFGS:   47 17:38:55        0.029285        0.1277
BFGS:   48 17:38:56        0.028131        0.0865
BFGS:   49 17:38:56        0.029681        0.1312
BFGS:   50 17:38:56        0.022760        0.0930
BFGS:   51 17:38:56        0.015646        0.0678
BFGS:   52 17:38:57        0.013437        0.0848
BFGS:   53 17:38:57        0.013082        0.0987
BFGS:   54 17:38:57        0.015800        0.0722
BFGS:   55 17:38:58        0.011321        0.0730
BFGS:   56 17:38:58        0.007700        0.0620
BFGS:   57 17:38:58        0.006552        0.0633
BFGS:   58 17:38:58        0.005545        0.0520
BFGS:   59 17:38:59        0.006523        0.0705
BFGS:   60 17:38:59        0.008041        0.0357
      Step     Time          Energy         fmax
BFGS:    0 20:08:10        4.284343       15.7335
BFGS:    1 20:08:10        5.198616       20.6049
BFGS:    2 20:08:11        3.571294        4.3427
BFGS:    3 20:08:11        3.108821        2.5722
BFGS:    4 20:08:11        3.098527       10.0656
BFGS:    5 20:08:11        2.617002        2.3254
BFGS:    6 20:08:12        2.220425        2.6579
BFGS:    7 20:08:12        1.054002        2.3848
BFGS:    8 20:08:12        1.468497        6.4513
BFGS:    9 20:08:13        0.803327        1.9174
BFGS:   10 20:08:13        0.709497        1.4490
BFGS:   11 20:08:13        0.586945        0.9540
BFGS:   12 20:08:13        0.568647        0.7878
BFGS:   13 20:08:14        0.495001        1.0573
BFGS:   14 20:08:14        0.475180        1.1297
BFGS:   15 20:08:14        0.403704        0.7489
BFGS:   16 20:08:15        0.378889        0.5660
BFGS:   17 20:08:15        0.356747        0.5405
BFGS:   18 20:08:15        0.320812        0.9222
BFGS:   19 20:08:16        0.299376        0.9842
BFGS:   20 20:08:16        0.269109        0.6510
BFGS:   21 20:08:16        0.241602        0.4573
BFGS:   22 20:08:16        0.225772        0.4745
BFGS:   23 20:08:17        0.185492        0.6450
BFGS:   24 20:08:17        0.166508        0.8975
BFGS:   25 20:08:17        0.145945        0.7462
BFGS:   26 20:08:18        0.106191        0.2849
BFGS:   27 20:08:18        0.110738        0.1961
BFGS:   28 20:08:18        0.107182        0.3703
BFGS:   29 20:08:18        0.095109        0.4175
BFGS:   30 20:08:19        0.083134        0.2881
BFGS:   31 20:08:19        0.063717        0.1350
BFGS:   32 20:08:19        0.048960        0.1020
BFGS:   33 20:08:20        0.065361        0.1467
BFGS:   34 20:08:20        0.059331        0.1543
BFGS:   35 20:08:20        0.055798        0.1214
BFGS:   36 20:08:20        0.056126        0.0546
BFGS:   37 20:08:21        0.065603        0.0625
BFGS:   38 20:08:21        0.062835        0.1038
BFGS:   39 20:08:21        0.065789        0.0843
BFGS:   40 20:08:22        0.069809        0.0475
      Step     Time          Energy         fmax
BFGS:    0 12:29:58     -575.803589       14.3662
BFGS:    1 12:29:58     -574.281311       21.1652
BFGS:    2 12:29:58     -575.974426        5.1496
BFGS:    3 12:29:58     -576.586914        2.0972
BFGS:    4 12:29:58     -576.896240        6.9976
BFGS:    5 12:29:58     -577.340698        5.2129
BFGS:    6 12:29:58     -577.996643        4.1353
BFGS:    7 12:29:58     -578.201538        1.4985
BFGS:    8 12:29:58     -578.316895        0.9613
BFGS:    9 12:29:59     -578.370300        1.0850
BFGS:   10 12:29:59     -578.385864        0.8679
BFGS:   11 12:29:59     -578.410400        0.4612
